,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,,,,,,,,,,,,,,,,aru,,,,,
1,(Npprpr),,,,,,,,,,,,,,,,,,,,-
2,,,,+,,+,,+,+,+,+,+,+,+,,,,,,,+
3,,35,,,,40,,,88,,40,,,40,,47,22,,:,2,46
4,,,yu,,,,,,1,neanaa,,,,,,,,9,yu,yu,
5,,,,,,,,,,,,,,,2sop me,,,,hees,3m,
6,,,,,,,,,,uedexop,,,,-,,+,,,,,
7,sah,,,,,,,,,,,,,,,,,,,,
8,,,,,,8'0,,,,24,,+,+,,27,,1,,,90,
9,,,iru,,,60<,,ru,yu,,ru,yu,2,,,,22,,,22,
10,,,,,,,,,,,,,,,,,ar,,,,
11,desseee,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,2,,,4,,,,,,,
13,,F,F,,,F,,,,,F,,,F,,,,,,2,
14,ON,,6,,,,,,2,,,,,,,,L,,2,3,
15,,,,,1995,,199,,,,,,,,,,,,,,
16,,,8,,,,,,,2,2,,13,,,,,,,,
