,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,,,:,,,0,80,,,,,,0
1,,,00,(201'860) 00L,,00,(Z0'1'66'0) 00'L,,,,10860660,,,
2,,,,3,0,,,90,,03,0,,80,90
3,,I%0,10,(101110)10,101880)60,00,(90'l'06'0) 66'0,,100,,(10'1'68'0) 16'0,100,,(60't'96'0) 20L
4,,,,0,,,3,,,0,,,3,8'0
5,,(I%S6)*0),00,(00'1'88'0) +60,,00,(E0'116'0) 16'0,90'60) 660,100,,(201'060) 60,,,(9016'0) 66'0
6,,,,2,,,,,,,0,,,
7,%)teyXpog,(ID%S6)0),00,(20' '06'0) 96'0,,00,(+0'1'Z6'0) 86'0,,,,,00,,(101100) 001
8,,,,,,,,3,,,,,0,
9,,(I%6)0),100,(41180) 601,,100,(ZE1'110)16'0,,100,,,100,,
10,,,,,46H,MO,,,MO,,y6H,MO,,
