,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,,Fruit Weight,Fruit Weight,Fruit Weight,Fruit Size,Fruit Size,Fruit Size,Fruit Length,Fruit Length,Fruit Length,Fruit Diameter,Fruit Diameter,Fruit Diameter,Fruit Firmness,Fruit Firmness,Fruit Shape,Fruit Shape
1,Treatments,Treatments,,(g),,,(cm3),,,(cm),,,(cm),,(Ib/inch2),(Ib/inch2),Index(L/D),Index(L/D)
2,,,2020,,2021,2020,,2021,2020,,2021,2020,,2021,2020,2021,2020,2021
3,Control,,132.69 f,,137.17 f,112.25 f,115.57 g,115.57 g,7.41 g,,7.54 g,5.09 e,,5.13d,14.17 c,15.17 d,1.45 d,1.47 b
4,Control,, 2.58,, 2.76,1.45,, 2.16,0.09,,0.05,0.03,,0.02,0.66,0.7,0.01,0.01
5,,500,140.75 e,,144.21 e,120.61 e,120.61 e,122.38 f,7.73 f,,7.75 f,5.20 de,,5.28 cd,15.80 b,16.00 c,1.48 d,1.47 b
6,,ppm,1.26,,1.87,3.13,,1.88,0.03,,0.09,0.05,,0.03,0.26,0.2,0.01,0.01
7,CA,1000,148.38 d,,161.37 d,128.86 d,138.53 d,138.53 d,8.30 e,,8.52 d,5.33cd,,5.36 cd,16.00 b,16.40 c,1.56c,1.59 ab
8,CA,ppm, 2.38,,1.03, 2.97,, 2.26,0.04,,0.09,0.04,,0.01,0.53,0.5,0.02,0.01
9,,1500,150.70 d,,164.51 d,132.07 d,145.49 c,145.49 c,8.68 d,,8.87 c,5.37 c,5.42 b-d,5.42 b-d,16.17 b,16.40 c,1.61 ab,1.63 a
10,,ppm,4.08,,3.24,3.07,,2.10,0.15,,0.12,0.05,,0.02,0.55,0.5,0.02,0.02
11,,50,141.71 e,,146.03 e,121.82 e,127.18 e,127.18 e,7.73 f,,7.82 ef,5.31 cd,,5.31 cd,15.87 b,17.40 b,1.47 d,1.49 ab
12,,ppm,1.56,, 2.02, 3.58,, 2.37,0.09,,0.01,0.05,,0.03,0.85,0.1, 0.02,0.01
13,GA3,100,159.38 c,,173.01 c,140.23 c,154.13 b,154.13 b,8.97 c,,9.10 b,5.50 b,5.53 b-d,5.53 b-d,17.30 a,17.40 b,1.63 a,1.65 a
14,GA3,ppm,3.69,, 4.04,4.31,, 4.06,0.10,,0.02,0.05,,0.03,0.1,0.9,0.02,0.01
15,,150,174.17 b,,177.64 b,154.76 b,157.39 b,157.39 b,9.17b,,9.23 b,5.78a,,6.04 ab,17.50 a,17.40 b,1.59 bc,1.53 ab
16,,ppm,3.03,, 2.59, 1.64,, 1.26,0.09,,0.11,0.10,, 0.04,0.17, 0.2,0.02,0.2
17,,3%,141.72 e,,147.48 e,122.34 e,127.48 e,127.48 e,7.81 f,,7.94 e,5.27 cd,,5.33 cd,15.87 b,16.40 c,1.46 d,1.48 b
18,,3%,2.90,,2.49,1.94,, 2.49, 0.06,,0.10,0.03,,0.02,0.58,0.7,0.01,0.02
19,,,172.95 b,,176.23,153.43 b,,156.54 b,9.03 bc,,9.13 b,5.62 b,,5.83 a-c,17.33 a,17.93,1.61 ab,1.57 ab
20,HA,4%,2.26,,0.97,4.04,,1.04,0.04,,0.02,0.03,,0.09,0.15,0.4,0.03,0.02
21,,5%,182.14 a,,186.07 a,163.48 a,163.48 a,165.94 a,9.32 a,,9.49 a,5.90a,,6.32 a,17.87 a,18.73 a,1.58 bc,1.53 ab
22,,5%,3.58,, 2.46, 2.64,,3.00,0.02,,0.15,0.15,,1.11,0.94,0.2,0.04,0.02
23,(p<0.05,,4.88,,4.28,5.15,,4.09,0.14,,0.15,0.12,,0.6,0.95,0.86,0.04,0.14
