,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Treatments,,,N%,,,P %,,,K %,,Fe ppm,Fe ppm,Zn ppm,Zn ppm,Mn ppm,Mn ppm
1,,,2020,,2021,2020,,2021,2020,,2021,2020,2021,2020,2021,2020,2021
2,Control,, 0.06,, 0.05, 0.02,, 0.02, 0.03,, 0.03,0.01,0.01, 0.02, 0.03, 0.02, 0.02
3,,500,1.8 f,,1.93 f,0.34 b,,0.35 e,1.30 f,,1.36 c,0.38 f,0.42 f,0.28 d,0.32 d,0.34 f,0.38 g
4,,ppm,0.01,, 0.03, 0.02,, 0.01, 0.02,, 0.05, 0.02, 0.01, 0.02, 0.02, 0.01, 0.03
5,CA,1000,1.85 f,,2.03 e,0.35 ab,,0.37 c-e,1.38 de,,1.40 c,0.50 d,0.54 d,0.32 cd,0.35 cd,0.42 d,0.46 e
6,CA,ppm,0.03,,0.03,0.02,,0.01, 0.03,, 0.02,0.02,0.01,0.03, 0.03,0.01,0.02
7,,1500,1.98 e,,2.04 e,0.37 ab,,0.38 b-d,1.40 d,,1.42 c,0.62 c,0.67 c,0.34 c,0.44 b,0.45 c,0.49 d
8,,ppm,0.03,,0.04, 0.02,,0.01, 0.03,, 0.02,0.01, 0.02, 0.03,0.02,0.01, 0.03
9,,50,1.81 f,,1.93 f,0.34 b,,0.36 de,1.32 f,,1.37 c,0.41 f,0.43 f,0.30 cd,0.35 cd,0.37 e,0.42 f
10,,ppm,0.05,, 0.04, 0.02,, 0.02, 0.04,, 0.02,0.01,0.01, 0.02, 0.02, 0.02,0.03
11,GA3,100,2.11 d,,2.17 d,0.37 ab,,0.39 bc,1.46 c,,1.51 b,0.64 c,0.68 c,0.40 b,0.37 c,0.48 c,0.53 c
12,GA3,ppm, 0.04,,0.03, 0.02,,0.01, 0.04,, 0.04,0.01,0.01, 0.02,0.03, 0.01, 0.02
13,,150,2.43 b,,2.50 b,0.38 a,,0.40 ab,1.61 b,,1.54 b,0.93 a,1.00 a,0.45 a,0.49 a,0.59 b,0.64 b
14,,pm, 0.03,, 0.03, 0.01,,0.01, 0.04,, 0.04, 0.04, 0.04, 0.02, 0.02, 0.02, 0.02
15,,3%,1.85 f,,1.94 f,0.35 ab,,0.37 ce,1.34 ef,,1.40 c,0.46 e,0.50 e,0.31 cd,0.37 c,0.40 de,0.44 e
16,,3%, 0.03, 0.03, 0.02, 0.01,, 0.01, 0.02,, 0.04, 0.01, 0.01, 0.03, 0.03, 0.01, 0.02
17,HA,4%,2.2 c,,2.25 c,0.37 ab,,0.39 bc,1.50 c,,1.52 b,0.77 b,0.82 b,0.40 b,0.45 b,0.49 c,0.55 c
18,HA,4%, 0.03,, 0.02, 0.03,, 0.01, 0.01,, 0.04, 0.02, 0.02, 0.02, 0.02, 0.01, 0.02
19,,5%, 0.03,,2.57 a,0.39 a,,0.42 a,1.89 a,,1.92 a,0.96 a,1.03 a,0.46 a,0.51 a,0.65 a,0.69 a
20,,5%, 0.03,, 0.03, 0.02,, 0.02, 0.01,, 0.04, 0.03, 0.03, 0.01, 0.01, 0.04, 0.01
21,(p0.05),(p0.05),0.06,,0.06,0.03,,0.02,0.05,,0.07,0.04,0.03,0.04,0.03,0.03,0.02
