,0,1,2,3,4
0,,Model1,Model 2,Model3,Model4
1,,AOR (95% CI),AOR (95% CI),AOR (95% CI),AOR (95% CI)
2,SOCIO-DEMOGRAPHICFACTORS,,,,
3,Female,"1.4 (1.2, 1.6)","1.2 (1.0, 1.5)","1.1 (0.96, 1.3)","1.1 (0.9, 1.3)"
4,Age group,,,,
5,18-39,ref,ref,ref,ref
6,40-59,"1.0 (0.9, 1.2)","1.1 (0.9, 1.2)","1.0 (0.8, 1.2)","1.0 (0.9, 1.2)"
7,60+,"1.0 (0.8, 1.3)","1.0 (0.8, 1.3)","0.9 (0.7, 1.2)","0.9 (0.7, 1.2)"
8,White race,"0.9 (0.7, 1.3)","0.9 (0.6, 1.2)","0.9 (0.6, 1.2)","0.9 (0.6, 1.3)"
9,Some college or less,"1.1 (0.9, 1.2)","1.2(1.0, 1.4)","1.1 (0.9, 1.3)","1.2 (0.97, 1.4)"
10,Married,"1.1 (0.9, 1.2)","1.1 (0.9, 1.3)","1.1 (0.9, 1.3)","1.2 (0.97, 1.4)"
11,Residence type,,,,
12,Rural,ref,ref,ref,ref
13,Suburban,"1.1(0.9,1.2)","1.0(0.9,1.2","1.0(0.9,1.2)","1.0 (0.9, 1.2)"
14,Urban,"1.1 (0.9, 1.4)","1.0 (0.8, 1.2)","1.0 (0.8, 1.2)","0.9 (0.8, 1.2)"
15,KNOWLEDGE,,,,
16,Stopping going to school/work protective,,"3.0 (2.5, 3.6)","2.4 (2.0, 2.8)","2.2 (1.9, 2.7)"
17,COVID-19 THREAT PERCEPTION,,,,
18,Perceived risk,,,"1.0 (0.98, 1.1)","1.0 (0.99, 1.1)"
19,Perceived severity,,,"1.11.1,1.2)","1.11.1,1.2)"
20,ECONOMICPRECARITY INDEX,,,,"1.1(1.0, 1.2)"
21,ESSENTIALWORKER,,,,"0.7 (0.6, 0.8)"
22,CAN'T AFFORD TO QUARANTINE,,,,"0.9 (0.8, 1.1)"
