,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,,,,,,Dicamba,,,,,,,,Fluroxypyr,,,
1,,,14 DAA,,,,28 DAA,,,,14 DAA,,,,28 DAA,28 DAA,
2,Population,ED50b,ED50b,R/S,ED50,,R/S,LD50,R/S,ED50,,R/S,ED50,ED50,R/S,LD50,R/S
3,,g ae ha-1,g ae ha-1,,g ae ha-1,g ae ha-1,,g ae ha-1,,g ae ha-1,g ae ha-1,,g ae ha-1,g ae ha-1,,g ae ha-1,
4,Susceptible mean,78,,,78,,,81,,14,,,8,,,11,
5,Susceptible-1,61(3,,0.8,61 (3),61 (3),0.8,59 (6),0.6,1 (2),,0.1,11,11,0.1,13,0.1
6,Susceptible-2,64 (6),,0.8,71 (4),71 (4),0.9,66 (6,0.8,21 (4),,1.5,15 (3),15 (3),1.9,14 (3),1.3
7,Susceptible-3,101(10),101(10),1.3,94 (7),94 (7),1.2,89 (6),1.1,14 (4),,1.0,10 (3),10 (3),1.3,19 (2),1.7
8,Susceptible-4,84 (7),,1.1,86 (6),86 (6),1.1,111 (12),1.4,20 (5),,1.4,73,73,0.9,10 (3),0.9
9,Resistant,156 (19),156 (19),2.0,158 (15),158 (15),2.0,174 (20),2.0,72 (13),,5.1,40 (8),40 (8),5.0,44 (4),4.0
10,Acadia,236 (37),236 (37),3.0,213 (30),213 (30),2.7,167 (18),2.3,36 (7),,2.6,21 (2),21 (2),2.6,18 (2),1.6
11,Cypress-1,425 (228),425 (228),5.4,504 (558),504 (558),6.5,290 (44),3.7,2 (39),,0.1,7(4),7(4),0.9,6 (4),0.5
12,Cypress-2,146 (20),146 (20),1.9,113 (15),113 (15),1.7,103 (9),1.3,5 (42),,0.4,9 (6),,1.1,15 (2),1.4
13,Lethbridge-1,117 (14),117 (14),1.5,118 (11),118 (11),1.5,103 (6),1.3,84 (37),,6.0,44 (14),44 (14),5.5,26 (4),2.4
14,Lethbridge-2,151 (19),151 (19),1.9,114 (14),114 (14),1.8,153 (19),1.5,12 (3),,0.9,14 (2),14 (2),1.8,20 (2),1.8
15,Lethbridge-3,169(19),169(19),2.2,167 (14),167 (14),2.1,160 (11),2.0,380 (132),380 (132),27.1,412 (734),412 (734),51.5,620 (81),56.4
16,Lethbridge-4,139 (17),139 (17),1.8,136 (12),136 (12),1.7,116 (10),1.5,156 (27),156 (27),11.1,195 (131),195 (131),24.4,81(18),7.4
17,Rocky View,97 (11),97 (11),1.2,98 (8),98 (8),1.3,94 (7),1.2,>560,,>40.0,400 (158),400 (158),50.0,798 (221),72.5
18,Taber,120 (19),120 (19),1.5,99 (10),99 (10),1.3,95 (7),1.2,21 (5),,1.5,14(3),14(3),1.8,15 (2),1.4
19,Vulcan,107(14),107(14),1.4,99 (10),99 (10),1.3,101 (7),1.3,152 (26),152 (26),10.9,113 (24),113 (24),14.1,40 (10),3.6
20,Warner-1,152(27),152(27),1.9,149 (22),149 (22),1.9,141 (13),1.8,153 (210),153 (210),10.9,79 (89),79 (89),9.9,29 (4),2.6
21,Warner-2,146(18),146(18),1.9,140 (14),140 (14),1.8,139 (10),1.8,23 (4),,1.6,17(3),17(3),2.1,14 (2),1.3
