,0,1
0,Cwg ScbaWxg3 xL-r-r,Cpc(ot/1E9V.-TT/Oror) Laiyjgma osgvo
1,,m(o JKB-riV gKB-rAslj
2,,(p0.0515-11rmb
3,,yj5xycFxgaayL(rJgb)y
4,,C3331 L KB-rrKB-oKB-y
5,,ojlslasalwlgbueiligamsdcag
6,,S=osLOj3g1s L KB-riV  KB-rr Ssy
7,aoWysy.b*a*L*osgbu,
8,E/E-FAO,
9,gys.(EJg)1/-E/rNoV-NrV,r/Ao []sLgbcly3clxVAVLr/E [r]
10,-1AV(1E9-110r3Logcg1,Cwlouy1jS[r] sKxI sWcwyj slxNV L
11,TAo-1VVg19-o10-V/91/Ar,
12,yjabyoyL*is9gvJgl),
13,Lwy3xL Lj5CgW L KB-rrr gKB-iosL,
14,(vJg)y,
15,KB-iolyjbCa*sa,Lampgo[rr]cmlo
16,SKB-4KB-KB-rrrKB-rA,aogCoglTlgcwliyogslclb
17,,d Cumi UJx pb1.Cw1og sLi  Wk. CWu
18,L*alslacgljilsowss,
19,,g Cwla1 1 Cbl G Ja KB-rEr J~Jyj
20,yj5xJsLW.c(9o1gV),KB-ror g KB-rer wW sLjciL iw L sLyj
21,[re]cwlol;s,
22,s LKB-1rKB-i4 KB-rrr KB-reAs,9 Wl sbalxJs Luyjcbl slx Gl ou
23,gba.[r]cwlouS3 JWIislxiaouxL bug,cLFj 5J:L OW1 gs oyr 3j CL cJWi wyj
24,,Cms d igl JL dalwl Jgbro lob slgro og
25,[r]lswigowsmLi,
