,0,1,2
0,Energy/Nutrient,Total,
1,Energy/Nutrient,n=105),
2,EnergykJMedian SD,4805.002640.69,8400
3,Energy (kcal) Median  SD,1145.35629.19,2000
4,Protein(gMedian SD,47.6035.64,50
5,Fatg) Median(25th-75th),36.00 (24.00-53.57),70
6,Carbohydrate (g)Median  SD,170.00  82.87,260
7,Monosacharride(gMedian SD,47.0033.25,90
8,Fibre(g)Median SD,14.026.99,25
9,Saturated fatty acids (g) Median  SD,11.00 6.60,20
10,Oleic acid (gMedian SD,8.0012.65,
11,-linolenic acid(ALA(gMedian SD,0.080.30(0.06E%),0.5 E%
12,Linoleic acid(g)Median SD,4.007.05(3.14E%,4E%
13,Cholesterol(mgMedianSD,104.00299.82,
14,Iron (mg) Median (25th-75th),5.25 (3.25-7.81),14
15,Calcium(mg)Median SD,465.56284.21,800
16,Magnesium(mg)Median SD,161.13  82.71,375
17,Potassium(mgMedianSD,1813.55893.32,2000
18,Sodium(mg) Median  SD,1409.00920.39,2000
19,Selenium (g) Median (25th_75th),5.59 (1.10-12.00),55
20,Zinc(mg) Median(25th-75th,5.00 (3.00-6.47),10
21,Copper(mg)Median SD,0.873.89,1
22,Vitamin A(Retinol)g) Median (25th-75th),68.00 (32.10-163.50),800
23,"Vitamin B, (mg) Median (25th-75th)",1.00 (0.58-1.00),1.1
24,"Vitamin B, (mg) Median (25th-75th)",1.00 (0.79-1.38),1.4
25,"Vitamin B, (mg) Median (25th-75th)",7.00(4.00-13.00),16
26,Vitamin B. (mg) Median (25th-75th),3.44 (2.64-5.00),6
27,Vitamin B.(mg) Median (25th-75th),1.00 (1.00-1.70),1.4
28,Vitamin B.g) Median (25th-75th),203.00 (131.00-318.00,200
29,"Vitamin B,g) Median (25th-75th)",2.00 (1.00-4.00),2.5
30,Vitamin C (mg) Median (25th-75th),56.92 (37.0-84.69),80
31,Vitamin D (g) Median (25th-75th),1.00 (0.33-2.00),5
32,Vitamin E(mg)Median(25th-75th),7.00 (4.00-14.50),12
33,Vitamin K (g) Median (25th-75th),35.18 (14.55-79.60),75
