,0,1,2,3,4,5,6,7,8,9,10,11
0,,,,,,,Rice Intake,,,,,
1,,,,Men,,,,,,Women,,
2,,Q1,Q2,Q3,Q4,p,,Q1,Q2,Q3,Q4,p
3,Number of participants,3339,3339,3339,3338,,,3931,3931,3931,3931,
4,Age (years),54.3 (12.5),55.9 (13.2),51.7 (10.7),54.1 (11.6),<0.01,53.3 (11.9),53.3 (11.9),54.7 (13.0),58.7 (14.2),53.9 (12.2),<0.01
5,Body mass index (kg/m2),22.5 (2.8),22.4 (3.0),22.6 (2.6),22.4 (2.7),<0.01,22.0 (2.7),22.0 (2.7),22.0 (2.9),21.9 (3.1),1.6%,<0.01
6,"History of diabetes (yes,%)",20.7%,6.8%,18.4%,4.3%,<0.01,,2.9%,2.9%,3.3%,15.6%,<0.01
7,Menopausal status (pre),20.7%,19.7%,18.4%,16.9%,<0.01,,15.7%,18.1%,32.4%,43.9%,<0.01
8,"Marital status (yes, %)",,,,,,,45.2%,77.3%,68.0%,43.9%,<0.01
9,"Marital status (yes, %)",91.3%,90.5%,93.4%,90.5%,<0.01,,76.4%,77.3%,68.0%,79.1%,<0.01
10,Education years (%),,,,,<0.01,,,,,25.9%,<0.01
11,8 years,22.1%,23.3%,20.6%,28.2%,,,40.1%,25.7%,37.3%,43.3%,
12,9-11 years,22.1%,23.3%,26.4%,22.7%,,,40.1%,31.4%,36.5%,43.3%,
13,1214 years,26.9%,24.4%,26.0%,22.7%,,,35.0%,4.7%,22.9%,27.2%,
14,Physical activity,15.8%,23.7%,12.6%,7.6%,,,7.1%,4.7%,3.3%,3.6%,
15,score(METs-h/week),24.8 (38.4),26.6 (40.0),30.1 (42.3),29.8 (44.5),<0.01,19.9 (28.9),19.9 (28.9),20.1 (29.7),17.2 (28.4),20.2 (30.6),<0.01
16,Smoking status (%),,27.2%,23.3%,24.8%,<0.01,,79.6%,,84.4%,,<0.01
17,never,24.7%,27.2%,23.3%,24.8%,,,79.6%,4.5%,84.4%,3.8%,
18,former,24.4%,22.6%,28.4%,24.7%,,,14.0%,4.5%,4.4%,11.3%,
19,current (for <30 years),24.4%,22.6%,28.4%,24.7%,,,14.0%,10.7%,8.9%,11.3%,
20,Alcohol consumption (g/day),24.3%,42.5 (44.9),23.7%,27.0%,,,1.6%,1.5%,2.3%,6.4 (13.6),<0.01
21,Alcohol consumption (g/day),54.5 (46.9),42.5 (44.9),43.2 (35.4),27.7 (32.4),<0.01,12.2 (23.2),12.2 (23.2),6.7 (13.1),5.6 (14.4),6.4 (13.6),<0.01
22,Carbohydrate intake (g/day),2668 (934),2557 (1157),397 (66),2486 (768),<0.01,2488 (822),2488 (822),1859 (431),1849 (984),374 (77),<0.01
23,Carbohydrate intake (g/day),328 (118),345 (149),397 (66),388 (103),<0.01,334 (114),334 (114),266 (61),278 (137),374 (77),<0.01
24,Fiber intake (g/day),18.4 (10.3),16.7 (10.0),16.0 (6.4),13.6 (6.9),<0.01,21.8 (10.8),21.8 (10.8),15.2 (5.6),14.3 (9.5),15.4 (6.6),<0.01
25,Salt intake (g/day),16.4 (6.9),14.6 (7.4),14.1 (4.4),11.6 (5.4),<0.01,16.9 (6.5),16.9 (6.5),12.1 (3.7),11.2 (6.6),12.1 (4.6),<0.01
26,none,18.6%,23.5%,16.1%,21.1%,<0.01,,18.0%,23.3%,36.9%,27.4%,<0.01
27,<1 cup /day,36.1%,37.5%,38.9%,42.7%,,,36.4%,40.7%,25.8%,30.5%,
28,1 cup /day,45.3%,39.0%,45.0%,36.2%,,,45.6%,36.0%,25.8%,30.5%,
