,0,1,2,3
0,Scientific name,Site,Protein (%),Lipid (%)
1,Chrysochir aureus(CA),This study,19.780.42a,0.540.26a
2,,This study,23.410.63c,1.160.34a
3,Larimichthys crocea (LC),This study,,
4,,Zhoushan Fishing Ground29,21.46-23.80,4.34-9.76
5,Collichthys lucidus (CL),This study,14.42  0.29b,2.000.71b
6,,Zhoushan Fishing Ground30,14.47-15.33,3.45-3.95
7,Ctenotrypauchen chinensis(CC),This study,12.360.31b,0.480.13a
8,,Bohai Fishing Ground31,11.66-13.80,2.52-2.54
9,Coilia macrognathos(CM),This study,18.700.48b,1.450.39
10,,Bohai Fishing Ground32,18.11-18.81,5.25-5.37
11,Muraenesox cinereus(MC),This study,21.280.51c,1.160.29
12,,Southern Coastal Fishing Ground33,19.60,2.0
13,Johnius belengeri (IB),This study,15.380.19a,0.520.12a
14,,Southern Coastal Fishing Ground34,16.92,7.19
15,Sebastiscus marmoratus(SM,This study,19.050.28c,2.54  0.77b
16,,Zhoushan Fishing Ground30,17.90  0.43,3.70  0.25
17,Lateolabrax maculatus(LM),This study,15.870.22a,1.76 0.67c
18,,Bohai Fishing Ground35,16.510.12,1.95 0.08
