,0,1,2,3
0,,,,United States
1,,Chart variables,1977 NCHS growth charts,growth charts
2,Weight-for-age,,Birth to 36 months,Birth to 36 months
3,,,2-18 years,2-20 years
4,Length-for-age,,Birth to 36 months,Birth to 36 months
5,Weight-for-length.,Weight-for-length.,Birth to 36 months,Birth to 36 months
6,,,Boys(49-103 cm),Boys (45-103 cm)
7,,,Girls (49-101 cm),Girls (45-103 cm)
8,Head circumference-for-age,Head circumference-for-age,Birth to 36 months,Birth to 36 months
9,Stature-for-age,,2-18 years,2-20 years
10,Weight-for-stature*,Weight-for-stature*,(Prepubescent),Boys (77-121 cm)
11,,,Boys 90-145 cm),Girls (77-121 cm)
12,,,Girls (90-137 cm),
13,BMI-for-age,,Not available,2-20 years
