,0,1,2,3,4,5
0,,Almost never,1-2 times/mo,1-2 times/wk,3 times/wk/,
1,,,,,Almost daily,
2,Men,,,,,
3,Person-years,"1,67,125","1,25,487","45,575","15,276",
4,All-cause mortality,,,,,
5,No.of death,2276,1345,523,210,
6,Model 17,1.00 (ref.),0.87 (0.81-0.93),0.90(0.82-1.00),0.98(0.85-1.13,0.018
7,Model 28,1.00 (ref.),0.89 (0.83-0.95),0.94 (0.85-1.03),1.03 (0.89-1.18),0.158
8,Model 38,1.00 (ref.),0.89 (0.83-0.96),0.96(0.87-1.05),1.05 (0.91-1.22),0.356
9,Cancer mortality,,,,,
10,No.of death,838,566,231,78,
11,Model 1,1.00 (ref.),0.99 (0.89-1.11),1.09 (0.94-1.26),0.99 (0.791.25),0.548
12,Model 28,1.00 (ref.),1.00 (0.90-1.12),1.11(0.96-1.29),1.03 (0.81-1.30),0.322
13,Model 38,1.00 (ref.),1.01 (0.91-1.13),1.15 (0.99-1.33),1.08 (0.85-1.36),0.140
14,CVD mortality,,,,,
15,No.of death,573,309,115,51,
16,Model 17,1.00 (ref.),0.80 (0.70-0.92),0.79 (0.65-0.97),0.95 (0.71-1.26),0.017
17,Model 28,1.00 (ref.),0.82 (0.72-0.95),0.86 (0.70-1.05),1.00 (0.75-1.34),0.114
18,Model 38,1.00 (ref.),0.83 (0.72-0.95),0.86 (0.70-1.06),1.01 (0.75-1.34),0.136
19,Women,,,,,
20,Person-years,"1,89,818","1,24,799","60,612","21,323",
21,All-cause mortality,,,,,
22,No.of death,1385,685,324,128,
23,Model 1,1.00 (ref.),0.86 (0.79-0.94),0.84 (0.75-0.95),0.85(0.71-1.02,0.001
24,Model 28,1.00 (ref.),0.89 (0.81-0.98),0.88 (0.78-0.99),0.89 (0.74-1.07),0.013
25,Model 38,1.00 (ref.),0.89 (0.81-0.98),0.88 (0.78-1.00),0.89 (0.74-1.07),0.016
26,Cancer mortality,,,,,
27,No.of death,437,236,122,44,
28,Model 17,1.00 (ref.),0.92(0.79-1.08,0.98 (0.80-1.20,0.92 (0.67-1.25),0.536
29,Model 28,1.00 (ref.),0.95 (0.81-1.11),1.02(0.83-1.25,0.95 (0.70-1.30),0.819
30,Model 3,1.00 (ref.),0.96 (0.81-1.12),1.03 (0.84-1.27),0.95 (0.70-1.31),0.923
31,CVD mortality,,,,,
32,No.of death,354,172,83,36,
33,Model 17,1.00 (ref.),0.88 (0.73-1.05),0.88 (0.69-1.12),0.94 (0.67-1.33),0.254
34,Model 28,1.00 (ref.),0.90 (0.751.09),0.93 (0.731.18),0.99 (0.701.40),0.546
35,Model 38,1.00 (ref.),0.91 (0.76-1.10),0.95(0.74-1.21),0.99 (0.701.41),0.634
