,0,1,2
0,Patent/Application Number,Summary of the Claimed Invention to,Examples of Studies on
1,(Applicant;Publication Date;Priority,Prevent/Treat COVID-19,Quercetin or Its
2,Country),,Compositions
3,US2021315857A1,A composition comprising many ingredients,
4,14 October 2021; United States),including quercetin [43],In vitro
5,,A composition containing quercetin and,Clinical
6,WO2021257252A1,"A composition encompassing luteolin, quercetin,",
7,Hofleitner Peter;23 December 2021;,"kaempferol,vitaminC[45]",Clinical
8,United States),"kaempferol,vitaminC[45]",
9,WO2021255464A1,A nutraceutical composition comprising many,
10,Hahn Norman;23 December 2021,"ingredients, including quercetin [46]",Clinical
11,United Kingdom),"ingredients, including quercetin [46]",
12,WO2021240481A2(Vedicinals India Private,A composition comprising many active ingredients,In vitro and clinical
13,Limited; 2 December 2021; India), including quercetin [47],In vitro and clinical
14,WO2021205083A2,"A composition of 2,6-di-tert-butyl-4-methyl-phenol",In vitro
15,(Spadavecchia et al.;14 October 2021;France),that may optionally contain quercetin [48],In vitro
16,WO2021168173A1,A composition of quercetin and iota,
17,(Synkine Therapeutics;26 August 2021;,carrageenan [49],In vitro
18,United States),carrageenan [49],
19,,"5-lipoxygenase inhibitor, and quercetin [50]",Not present
20,US2021393579A1,A composition comprising anthocyanins and,
21,(Zestt Wellness Limited;23 December 2021;,quercetin [51],Prophetic clinical study
22,United States),quercetin [51],
23,US2021386779A1,A composition containing a zinc ionophore,
24,(Margolin Leon; 16 December 2021;,(quercetin) and a bio-assimilable form of zinc,Clinical
25,United States),(Zn+2 [52],
26,US2021361700A1,,
27,(Tufts College;25 November 2021;,"vitamin E,and epigallocatechin gallate [53]",Prophetic clinical study
28,United States),"vitamin E,and epigallocatechin gallate [53]",
29,US2021290718A1,"A composition comprising quercetin, vitamin C,",
30,(Hazan Sabine;23 September 2021;,"vitamin D,zinc,and artemisia[54]",Clinical
31,United States),"vitamin D,zinc,and artemisia[54]",
32,CN112457281A,,
33,(Dalian University of Technology; 9 March,Ouercetin disulfonated derivatives[55,In vitro
34,2021; China),,
35,CN112263598A,Aqueous ethanol extract of Tianjihuang containing,
36,(Sun Yat-Sen University; 26 January 2021;,quercetin [56],In vitro
37,China),quercetin [56],
38,CN112022845A,,
39,(Zhejiang Provincial Center for Disease,Use of quercetin (dose 12.5 to 100 g/mL) to treat,
40,4 December 2020;,COVID-19 [57],In vitro
41,China),,
