,0,1
0,Variable,n (%)
1,Age in years,
2,Mean(SD),30.2(8.1)
3,15-24,334 (33.3)
4,25-34,351(35.0)
5,35 and above,319 (31.7)
6,Household size,5.4 (2.5)
7,Mean(SD),
8,1-3,170 (16.9)
9,4-5,333 (33.2)
10,6 and above,501 (49.9)
11,Education level,
12,No education,59 (5.9)
13,Primary,600 (59.8)
14,Secondary,267 (26.6)
15,Above secondary education,78 (7.7)
16,Employment,
17,No employment,546 (54.4)
18,Informal employment,334 (33.3)
19,Formal employment,124 (12.4)
20,Marital Status(N=1003,
21,Single,356 (35.4)
22,Married/cohabiting,581(57.9)
23,Divorced/separated/widow,66 (6.6)
24,Parity,
25,One,461(45.9)
26,Two and above,543 (54.1)
27,Minimum Dietary Diversity for women,
28,5,10510.5)
29,<5,899 (89.5)
30,BMI (Kg/m2),
31,Mean(SD),25.8 (5.8)
32,Underweight,86 (8.6)
33,Normal,412 (41.0)
34,Overweight,279 (27.8)
35,Obese,227 (22.6)
