,0,1,2,3,4,5,6
0,Study,Year,Method,Location,Sample,Main finding,Relevanc
1,Bassett-,2013,Quantitativel,Canada,New,First-time,High
2,Gunter et,,Longitudinal,,"parents,",parents feel,
3,al.,,,,established,less control,
4,,,,,parents and,over dietary,
5,,,,,non-parents,behaviours,
6,,,,,(n=298),,
7,Bassett-,2015,Quantitativel,Canada,First-time,First-time,High
8,Gunter et,,longitudinal,,parents and,parents feel,
9,al.,,,,non-parents,less control,
10,,,,,(n=172),over dietary,
11,,,,,,behaviours,
12,Burningham,2020,Qualitative/Cross-,UK,Mothers,First-time,Medium
13,&Venn,,sectional,,(n=40),parenthood,
14,,,,,,places,
15,,,,,,limitations on,
