,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,,,,,,,,,,,Monosaccharide (g),Monosaccharide (g),,,,,,
1,Food,Serving Amount,Amount (Grams),Moisture (%),Glc,Gal,Fruc,Xy1,Ara,Fuc,Rhm,GlcA,Gal A,GlcNAc,GalNAc,Man,All,Rib,Total
2, grilled chicken breast,4 oz,113,62.0,0.14,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.17,0.40
3,steamed broccoli,0.5 cups,38,89.6,0.36,0.13,0.00,0.06,0.14,0.01,0.02,0.00,0.12,0.00,0.00,0.02,0.00,0.02,0.90
4,steamed carrots,0.33 cups,50,87.1,1.66,0.29,0.17,0.03,0.16,0.02,0.02,0.00,0.26,0.00,0.00,0.04,0.00,0.00,2.70
5,squash,0.33 cups,67,89.6,2.29,0.19,0.42,0.03,0.03,0.01,0.01,0.00,0.20,0.00,0.00,0.02,0.00,0.00,3.20
6,cooked pasta,0.75 cups,150,54.7,57.60,0.51,0.45,2.10,1.51,0.00,0.02,0.01,0.03,0.00,0.00,0.15,0.00,0.03,62.40
7,olive oil,1 Tbsp,14,0.8,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,navel orange, 1 medium orange,165,87.3,6.37,0.37,2.64,0.12,0.24,0.04,0.06,0.00,0.60,0.00,0.00,0.00,0.00,0.00,10.40
9, whole milk,1 cup of milk,245,89.0,4.27,4.74,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.01,9.10
10,total,N/A,842,N/A,72.70,6.25,3.72,2.35,2.09,0.09,0.13,0.01,1.21,0.00,0.00,0.30,0.00,0.25,89.09
