,0,1
0,Trace GC Ultra,
1,Injector,PTV splitless
2,,Evap: 250 to 340 C at 14 C min-1
3,,Transfer: 340 to 341C at 14 C min-1
4,,0.13 min
5,,Cleaning: 341 to 390C at 10 C min-1
6,,2 min
7,,0.13 min splitless time
8,Gas,Helium at a constant flow of 1 mL min-l
9,Oven temperature,"90C,1 min"
10,,15Cmin-to 160C
11,,3Cmin-1to225C
12,,"6C min-1to 305,8 min"
13,,3Cmin-to 310C.final hold of 17 min
14,Transfer line,290 
15,Autosampler Triplus,
16,Injection volume,2 uL
17,TSQ Quantum XLS,
18,Source temperature,250
19,Ionization,"EI,40 eV"
20,Emission current,100 uA
21,Resolution,Q1 and Q3:0.7 Da (FWHM)
22,Collision gas,Argon at 1.5 mTorr
