,0,1,2,3
0,,T1,T2,T3
1,,<9.5,9.537.2,37.2
2,Sex*,,,
3,Female n%,266 (55.0),252 (52.0),219 (45.2)
4,Residency*,,,
5,Urban n (% etc,338 (69.8),371 (76.5),391 (80.8)
6,Educational level*,,,
7,Illiterate,302 (62.4),248 (51.1),179 (37.0)
8,Primary,72 (14.9),98 (20.2),102 (21.1)
9,Secondary,68 (14.0),77 (15.9),122 (25.2)
10,Higher,42 (8.7),62 (12.8),81 (16.7)
11,Monthly income*,,,
12,<2000,395 (81.6),345 (71.1),304 (62.8)
13,20005000,56 (11.6),107 (22.1),126 (26.0)
14,>5000,33 (6.8),33 (6.8),54 (11.2)
15,Smoking status*,,,
16,Never smokers,420 (86.8),417 (86.0),379 (78.3)
17,Ex-smokers,42 (8.7),35 (7.2),56 (11.6)
18,Smokers,22 (4.5),33 (6.8),49 (10.1)
19,Physical activity intensity*,,,
20,Low,61 (12.6),77 (15.9),66 (13.6)
21,Moderate,311 (64.3),277 (57.1),260 (53.7)
22,High,112 (23.1),131 (27.0),158 (32.6)
23,Family history of CRC*,,,
24,No,482 (99.6),483 (99.6),476 (98.3)
25,Age (years)*,59.612.9,55.413.4,51.413.6
26,BMI (kg/m2),25.23.3,25.43.8,25.13.3
27,Energy intake (kcal/day)*,3150.7 885.8,3428.1  805.3,3547.4 866.1
28,Lipid intake (g/day),181.6  124.5,177.5100.1,184.0112.1
29,Carbohydrate intake (g/day)*,494.1174.7,525.3  148.4,548.3  158.9
30,Fiber intake (g/day),43.5  19.5,44.9 17.3,44.118.1
