,0,1,2,3,4,5,6,7
0,,,,,,,,CgWa OiWss Cmloal1 LoogpHgal
1,,,,,,,,Clmgociluclaspblylslwl
2,.CulslsJgluss,,,,,.CulslsJgluss,.CulslsJgluss,
3,,90,,,,,,
4,o-Control,,,o-Control,,,,l|j1pKsL CbL C>pH gaWl
5,Acetic acid,,,Acetic acid,,,,l|j1pKsL CbL C>pH gaWl
6,Nano-chitosan,70,,,,,,
7,,,,,,,,JgS:1ogCgoWg-V-r
8,,30,,,,,,JjuSI sLsag g o1j1 sbJK1 bug LCoL  jI
9,,,,,,,,Sy CiuLjJyyCY1 aJsg JW
10,,10,,,,,,
11,,,0,2,4,6,8,
12,Storage Time (Week),,,Storage Time (Week),Storage Time (Week),,,
13,Fig 6 Vitamin C content (Mean  SD) of grapes,,,,,,,wJgcoLoLagaasslbJ
14,coated with nano-chitosan (0.2%) or acetic acid,,,,,,,psaj1w(P<70LoLj1O1jSy
15,"(0.5%), during 8 weeks storage at 4 C and 90% RH.",,,,,,,
16,5m>5Lj1-A-r,,,,,,,
17,,,,,,,,3d(P</oyw121yWj1aO1jgSgL
18,owslogLljljlasslglaslu,,,,,,,
19,,,,,,,,oL os1s Cumi LaLLLyy ja U1j81 d aS s1s
20,[19]i9g,,,,,,,
21,,,,,,,,WI SWg1 g jYg j1uaSIx wW) Lj1 sex
22,e xL wU ix1 ys .[NV]y1s y9 oL CYye>,,,,,,,
23,,,,,,,,ll[r]lwg
