,0,1,2,3,4
0,Group,,Total*n=1985,n=1252,n=733
1,,<45,347 (17.5),195 (15.6),152 (20.7)
2,Age,45-54,594 (29.9),398 (31.8),196 (26.7)
3,(years old),5564,729 (36.7),467 (37.3),262 (35.7)
4,,65,315(15.9),192 (15.3),123 (16.8)
5,,Urban,1192 (60.1),739 (59.0),453 (61.8)
6,Place of residence,Rural,793 (39.9),513 (41.0),280 (38.2)
7,,Non/primary,286 (14.4),191 (15.3),95 (13.0)
8,,Vocational,314 (15.8),173 (13.8),141 (19.2)
9,,Secondary,786 (39.6),525 (41.9),261 (35.6)
10,,Higher,599 (30.2),363 (29.0),236 (32.2)
11,,Never,935 (47.1),681 (54.4),254 (34.7)
12,Smoking status,Previous,630 (31.7),328 (26.2),302 (41.2)
13,,Current,420 (21.2),243 (19.4),177 (24.1)
14,,<24.9,577 (29.1),419 (33.5),158 (21.6)
15,BMI (kg/m2),BMI 2529.9,794 (40.0),448 (35.8),346 (47.2)
16,,BMI>30,614 (30.9),385 (30.8),229 (31.2)
