,0,1,2,3,4,5,6,7,8,9,10
0,Publi- Title,Publi- Title,Journal,Date Author,Article,Publi-Title,Publi-Title, Journal,Date,Author,Article
1,cation,,,,type (R:,cation,,,,,type (R
2,type,,,,C:case,type,,,,,review
3,(J:,,,,C:case,(J:,,,,,Ccase
4,jour-,,,,study),jour-,,,,,study)
5,"nal,B:",,,,,"nal,B:",,,,,
6,"book,",,,,,"book,",,,,,
7,G:,,,,,G:,,,,,
8,grey,,,,,grey,,,,,
9,"lit,M",,,,,"lit,M",,,,,
10,media,,,,,media,,,,,
11,arti-,,,,,arti-,,,,,
12,cle),,,,,cle),,,,,
13,1,Drivers of,Journal of,2017 McCarthy,C,J,Options for,Nature,2018 Spring-,2018 Spring-,c
14,,choice for,Dairy Sci-,et al,,,keeping the,,,mann,
15,,fluid milk,ence,,,,food system,,,et al,
16,,versus plant-,,,,,within envi-,,,,
17,, based alterna-,,,,,ronmental,,,,
18,,tives:What,,,,,limits,,,,
19,,are consumer,,,,J,Protein for,Nutrients,2018 Lonnie et al R,2018 Lonnie et al R,
20,,perceptions of,,,,,Life:Review,,,,
21,,fluid milk?,,,,,of Optimal,,,,
22,,Food integrated,The Inter-,2017 Gianni et al C,,,"Protein Intake,",,,,
23,,management,national,,,,Sustain-,,,,
24,,systems:,Journal of,,,,able Dietary,,,,
25,,dairy industry,Qual-,,,,Sources and,,,,
26,,insights,ity and,,,,the Effect on,,,,
27,,,Reliability,,,,Appetite in,,,,
28,,,Manage-,,,,Ageing Adults,,,,
29,,,ment,,,J,The biomass,Proceed-,2018 Bar-On,2018 Bar-On,c
30,J,Global environ-,Global,2018 Bai et al,C,,distribution on,ings of the,,et al,
31,,mental costs,Change,,,,Earth,National,,,
32,,of China's,Biology,,,,,Academy,,,
33,, thirst for milk,,,,,,of Sci-,,,
34,J,Invited review:,Journal of,2018 Britt et al,R,,,ences-,,,
35,,Learning from,Dairy Sci-,2018 Britt et al,,,,PNAS,,,
36,, the future-,ence,,,J,Reducing food's,Science,2018 Poore and,2018 Poore and,c
37,,A vision for,,,,,environmen-,(American,,Nemecek,
38,,dairy farms,,,,,tal impacts,Asso-,,,
39,,and cows in,,,,,through,ciation,,,
40,,2067,,,,,producers and,for the,,,
41,,Invited review:,Journal of,2018 Pulina,R,,consumers,Advance-,,,
42,,Current,Dairy Sci-,,,,,ment of,,,
43,,production,ence,,,,,Science),,,
44,,"trends, farm",,,,B,Diversity of,N/A,2018 Bosc et al,2018 Bosc et al,N/A
45,,"structures, and",,,,,Family Farm-,,,,
46,,economics,,,,,ing Around the,,,,
47,,of the dairy,,,,,World Exist-,,,,
48,,sheep and goat,,,,,"ence, Tra",,,,
49,,sectors,,,,G,Food Security.,Intergov-,2019 Mbow et al N/A,2019 Mbow et al N/A,2019 Mbow et al N/A
50,,Modeling,Journal of,2018 Rotz,C,,In: Climate,ernmental,,,
51,,greenhouse,Dairy Sci-,,,,Change and,Panel on,,,
52,,gas emissions,ence,,,,Land: an IPCC,Climate,,,
53,,from dairy,,,,,special report,Change,,,
54,,farms,,,,J,Current status,Asian-Aus-,2019 Miller and,2019 Miller and,R
55,J,The impact,Marine,2018 Has-,C,,of global dairy,tralasian,,Lu,
56,,of seaweed,Pollution,selstrom,,,goat produc-,Journal,,,
57,,cultivation on,Bulletin,et al,,,tion,of Animal,,,
58,,ecosystem ser-,,,,,,Science,,,
59,,vices-a case,,,,,,,,,
60,,study from the,,,,,,,,,
