,0,1,2,3,4,5,6,7,8,9,10
0,,,Crude intake,,,Energy-adjusted intake,,,,Percentage of intake,
1,,Same,Adjacent,Opposite,Same,Adjacent,Adjacent,Opposite,Same,Adjacent,Opposite
2,Total,,,,,,,,,,
3,Protein (g),32.1,40.3,7.3,28.7,,-,,,111,1111
4,Fat (g),33.9,41.4,5.4,34.9,38.9,38.9,7.1,,111,1111
5,Carbohydrate (g),32.3,40.3,5.4,32.7,39.8,39.8,6-3,,,1111
6,Average,33.0,38.9,7.3,32.6,39.2,39.2,8.4,,,
7,MPF,33.5,,,,,,,,,
8,Protein (g),34.1,39.1,6.6,-,,,-,33.0,41.1,6.6
9,Fat (g),28.7,39.5,9.1,26.1,39.1,39.1,10.6,29.5,38.3,10.8
10,Saturated fat (g),31.5,39.4,8.0,28.9,39.4,39.4,9.1,28.5,39.5,9.2
11,Fibre (g),35.6,41.8,5.8,35.1,42.6,40.7,4.9,34.0,40.4,5.5
12,Average,32.3,36.2,9.8,30-3,37.1,37.1,12-2,30.8,38.3,8.5
13,PCI,25.8,,15.4,30-3,,,,30.8,39-2,
14,Energy (kcal),25.8,34.5,15.4,,,-,,24.8,34-3,16.4
15,Fat (g),26-2,46.2,1.9*,24.9,37.6,37.6,11.7*,24-2,46.6,2.0
16,Fibre (g),27-2,35.1,14.9,25.7,37.0,37.0,9.2,83.7,33.6,15.9
17,Average,26.8,34.4,16-1,26.4,37.0,37.0,12.5,26.9,40.0,10.0
18,PF,34.4,,9.7,26-2,,38.0,12.1,33.7,40.0,10.0
19,Protein (g),27.8,40.6,9.0,26.8,,37.6,,25.9,40.0,11-3
20,Fat (g),28.2,38.7,9.7,27.9,37.6,37.6,9.9,28.4,36.5,10.5
21,Fibre (g),33.4,39.8,6.5,33.2,38.4,38.4,7.2,31.5,40.0,7.9
22,Average,29.7,39.5,8.5,29.3,38.4,38.4,9.2,28.2,38.7,10.0
23,Protein (g),33.0,41.0,6.3,,,,-,33.7,40.5,6.1
24,Protein (g),33.7,39.8,7.1,31.2,39.4,39.4,7.8,32.5,39.8,7.6
25,Fat (g),38.2,38.7,5.6,33.7,40.7,40.7,6.1,32.8,39.1,7.0
26,Carbohydrate (g),33.8,40.0,5.8,35.0,39.0,39.0,6.7,31-3,38.9,7.4
27,Na (mg),32-2,39.5,7.4,30.2,39.3,39.3,8.3,36.6,38.6,5.2
28,Average,34.1,39.8,6.5,32.2,39.6,39.6,7-3,33.5,39.6,6-6
