,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,,,TSS %,,,,,Acidity %,,,,Reduced Sugars,Reduced Sugars,Reduced Sugars,Non-Reduced,Non-Reduced,Non-Reduced
1,,Treatments,,TSS %,,,,,Acidity %,,,,,%,,,Sugars %,
2,,,2020,,2021,2020,2021,2020,,2021,2020,2021,2020,,2021,2020,,2021
3,,50 ppm,0.1,, 0.49,0.11, 0.09, 0.03,, 0.02, 0.71, 0.50, 0.17,, 0.09, 0.16,, 0.06
4,GA3,100 ppm,12.03 c,,12.40 cd,7.97 cd,8.11bc,0.51c,0.48 bd,0.48 bd,23.62 bc,25.97 bc,4.77 bc,, 0.17,3.20ac,,3.29 ad
5,GA3,100 ppm, 0.06,,0.2,0.04,0.03, 0.02,, 0.04, 0.83,2.23, 0.07,, 0.17, 0.09,,0.14
6,,150 ppm,13.10 b,,13.23 ab,0.05,0.09,0.51 c,,0.44 de,25.80 ab,30.33 a,4.88 b,,4.89 b,3.23 ab,,3.36 ab
7,,150 ppm,0.1,,0.06,0.05,0.09, 0.04,,0.01, 1.93, 0.98, 0.07,, 0.15, 0.02,, 0.07
8,,3%,11.43 de,,11.93 de,7.87 de,8.04 c,0.56 bc,,0.53 b,20.64 de,22.54 d,4.85 bc,,4.86 b,3.02 d,,3.16de
9,,3%, 0.06,, 0.42, 0.03, 0.04, 0.05,, 0.03, 1.75,1.06, 0.05,,0.09, 0.06,, 0.05
10,HA,4%,12.43 c,,12.83 bc,8.01 c,8.15 bc,0.51 c,,0.46 ce,24.49 ac,27.70 b,4.78 bc,,4.83 b,3.23 ab,,3.33 ac
11,HA,4%, 0.21,, 0.58, 0.04, 0.01, 0.04,,0.006, 1.99, 1.42, 0.02,, 0.09, 0.05,, 0.09
12,,5%,13.63 a,,13.80a,8.48 a,8.66 a, 0.02,, 0.01, 1.19,32.35 a, 0.10,, 0.06,3.31a,,3.42 a
13,,5%, 0.15,, 0.2, 0.05, 0.04, 0.02,, 0.01, 1.19, 0.52, 0.10,, 0.06, 0.05,, 0.10
14,,LSD(p0.05,0.5,,0.57,0.09,0.15,0.06,,0.05,2.52,2.03,0.17,,0.20,0.16,,0.15
