,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Component,Vitamin A [g],Vitamin A [g],Vitamin A [g],Vitamin E [mg],Vitamin E [mg],Vitamin E [mg],Vitamin C [mg],Vitamin C [mg],Vitamin C [mg],Zinc [mg],Zinc [mg],Zinc [mg],Copper [mg],Copper [mg],Copper [mg]
1,Series,I,,II,I,,II,I,,II,,,II,,,II
2,control,898.9 ,,888.5 ,10.5  0.8,,10.4  0.5,102.2 ,,98.3  14,11.2  1.7,,11.2  1.4,1.3  0.4,,1.3  0.4
3,group,193.8,,173.9,10.5  0.8,,10.4  0.5,18.8,,98.3  14,11.2  1.7,,11.2  1.4,1.3  0.4,,1.3  0.4
4,experimental,984.1 ,,987.3 ,10.7  1.0,,10.8  1.0,132.6 ,,125.2 ,11.0  1.2,,10.7  1.3,1.4  0.3,,1.4  0.3
5,group,198.9,,161.0,10.7  1.0,,10.8  1.0,49.9,,42.1,11.0  1.2,,10.7  1.3,1.4  0.3,,1.4  0.3
6,placebo,936.8 ,,938.4 ,11.5  1.5,,11.1  1.2,127.6 ,,125.4 ,11.7  2.5,,11.4  2.2,1.3  0.4,,1.2  0.4
7,group,241.9,,240.1,11.5  1.5,,11.1  1.2,52.9,,60.4,11.7  2.5,,11.4  2.2,1.3  0.4,,1.2  0.4
8,Norm,,630,,,10,,,75,,,9.4,,,0.7,
9,AI/EAR,,630,,,10,,,75,,,9.4,,,0.7,
