,0,1,2,3,4,5,6,7,8,9
0,,,Sodium,,,Potassium,,,Potassium,
1,,Q1,Q3,Q5,Q1,Q3,Q5,Q1,Q3,Q5
2,"Energy intake, kcal/day",1432,1438,1441,1431,1457,1419,1410,1459,1425
3,"BMI,kg/m2",28.6,29.6,30.6,29.4,29.7,29.6,28.8,29.7,30.3
4,"Hypertension, %",48.5,54.4,62.1,54.2,54.4,55.2,49.5,55.4,58.9
5,"High cholesterol,%",45.4,50.0,54.9,47.0,50.2,51.9,47.5,50.9,51.4
6,"Diabetes,%",12.9,20.7,35.6,17.3,23.2,26.2,17.2,22.8,27.7
7,DASH score,21.7,21.8,20.7,16.9,21.9,25.5,24.9,21.7,18.0
8,Number of baseline diseases,,,,,,,,,
9,and conditions,,,,,,,,,
10,0-2,32.1,29.9,28.1,30.6,29.3,29.5,31.7,29.2,29.2
11,3-4,24.8,26.3,25.6,25.1,26.0,25.4,25.1,25.8,25.3
12,5-6,18.4,19.1,19.8,18.8,19.3,19.2,18.5,19.6,19.5
13,7,24.7,24.7,26.5,25.4,25.3,25.9,24.8,25.5,26.0
14,Number of medication types,,,,,,,,,
15,0,31.4,29.6,27.3,28.9,29.1,29.8,31.6,28.5,27.8
16,1,22.0,22.7,23.2,22.4,22.7,22.3,22.2,22.9,22.9
17,2,15.5,16.7,16.7,16.0,16.8,16.0,15.4,16.5,16.5
18,3,31.0,30.9,32.8,32.7,31.4,32.0,30.7,32.1,32.7
19,Number of dietary supplement,,,,,,,,,
20,types,,,,,,,,,
21,0,24.3,25.3,27.1,31.3,24.7,21.7,20.9,25.3,30.1
22,1,21.1,22.6,24.6,24.6,22.8,21.5,20.2,23.0,25.2
23,2-3,29.0,29.4,29.1,26.9,29.8,29.8,29.9,29.8,27.7
24,4,25.5,22.7,19.2,17.2,22.7,27.0,28.9,21.9,17.0
