,0,1,2,3,4,5,6,7,8,9,10,11
0,,,,,,Period,,,,,,
1,,,Lactation,,,,,Post-weaning,,,P-value*,
2,,Basal,,CH-YBG,SEM,,Basal,CH-YBG,SEM,LT,,PW
3,VFA (mmol/l digesta),,,,,,,,,,,
4,Total,141.00,,144.54,5.783,,140.67,144.87,5.785,0.668,,0.612
5,Acetate,109.10,,107.80,4.404,,108.10,108.80,4.406,0.835,,0.910
6,Propionate,16.46,,17.34,0.897,,16.46,17.34,0.898,0.492,,0.493
7,Butyrate,9.83,,12.92,0.959,,10.23,12.52,0.960,0.029,,0.102
8,Isobutyrate,0.93,,1.36,0.126,,1.11,1.18,0.126,0.020,,0.678
9,Isovalerate,3.14,,3.64,0.292,,3.33,3.45,0.292,0.232,,0.781
10,Valerate,1.54,,2.06,0.121,,1.66,1.93,0.121,0.005,,0.124
11,Molar proportions,,,,,,,,,,,
12,Acetate,0.77,,0.75,0.007,,0.77,0.75,0.007,0.008,,0.123
13,Propionate,0.12,,0.12,0.004,,0.12,0.12,0.004,0.699,,0.706
14,Butyrate,0.07,,0.09,0.004,,0.07,0.08,0.004,0.001,,0.067
15,Isobutyrate,0.01,,0.01,0.001,,0.01,0.01,0.001,0.078,,0.748
16,Isovalerate,0.02,,0.03,0.003,,0.02,0.03,0.003,0.496,,0.765
17,Valerate,0.011,,0.014,0.001,,0.012,0.013,0.001,0.003,,0.156
