,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,Hd,,TTS,,,,,,,,,,,,,,
1,pH,1,,,,,,,,,,,,,,,,
2,TA,621*,-,,,,,,,,,,,,,,,
3,TSS,30g,228,1,,,,,,,,,,,,,,
4,Flavor,.834,-776*,331,1,,,,,,,,,,,,,
5,weight,.096,69,-524,.199,1,,,,,,,,,,,,
6,ChromaFruit,.487,-528,-118,57s,360*,1,,,,,,,,,,,
7,hueFruit,.553*,-484,081,551**,.187,.887,1,,,,,,,,,,
8,ChromaJuice,.526*,-500*,.090,.661*,.144,.700*,.507,1,,,,,,,,,
9,HueJuice,"494""",-518,.127,585**,.032,310,416,.188,1,,,,,,,,
10,Flesh to Core,245*,-387,-305,297*,.805*,313,.120,310,.119,,1,,,,,,
11,Firmness,247,-073,544,376*,-.108,-054,059,250,.116,,.032,1,,,,,
12,Respiration,-.181,276,-213,-413*,-.123,-335,-264,-386*,-.159,,-017,-141,1,,,,
13,LFruit,.428*,-402,-091,.444*,.125,.846,958*,401,364,,035,-089,-228,1,,,
14,aFruit,456,-522*,-111,566*,381,.992*,.26*,".734""",276*,,.356*,-043,,,1,,
15,bFruit,.533*,-514,-121,565,287,956,974,579*,378,-2%946910,.19,-072,,,,1,
16,LJuice,.515,-474,298,.739*,.013,529*,387,.875*,374*,24382-360295562427,24382-360295562427,,,,,,
17,aJuice,.459*,454,.074,597,.139,.666*,.450*,994,,095301243-379348708530.847,,,,,,,
18,bJuice,.74,651*,.167,.863*,.161,.724*,.664*,.867*,553319*,275-370551725.68s874.807,553319*,,,,,,1
