,0,1,2,3,4,5
0,,Total,MC4R rs17782313 genotypes,,,
1,,N=282,TT,TC+CCn=129,p-value,p-valuea
2,,,n=153,,,
3,Macronutrient,,,,,
4,Energy (kcal),,2614.27753.50,2588.40709.46,0.77,
5,Carbohydrate (g),,372.68123.59,367.74111.35,0.73,0.84
6,Protein (g),,89.61  27.72,86.76 29.01,0.40,0.32
7,Fat (g)),,93.6531.92,96.04  33.63,0.92,0.59
8,Fatty acids,,,,,
9,Saturated (g),,28.2111.57,27.34  9.90,0.51,0.52
10,Polyunsaturated (g.,,19.488.66,20.419.59,0.39,0.24
11,Monounsaturated (g),,30.8911.17,31.3712.38,0.73,0.48
12,Linoleic(g),,16.778.22,17.679.06,0.38,0.26
13,Linolenic(g),,1.210.66,1.250.70,0.56,0.41
14,Oleic(g),,27.6710.70,28.2111.84,0.69,0.47
15,Trans (g),,0.0090.002,0.009 0.002,0.85,0.86
16,Minerals,,,,,
17,Selenium (mg),,122.6145.65,115.4038.36,0.16,0.08
18,Calcium (mg),,1180.02421.32,1126.84394.45,0.28,0.23
19,Phosphorus (mg),,1657.13520.98,1594.45495.01,0.31,0.18
20,Magnesium (mg),,467.57153.76,443.32135.56,0.17,0.06
21,Zinc (mg),,13.004.13,12.674.11,0.51,0.45
22,Iron (mg),,18.675.92,18.385.84,0.67,0.74
23,Copper (mg),,1.980.65,1.970.77,0.90,0.86
24,Vitamins,,,,,
25,E(mg),,16.928.51,17.449.63,0.63,0.54
26,D(g),,1.941.67,1.941.47,0.99,0.91
27,A (RAE),,802.96438.62,734.13351.96,0.15,0.15
28,K(ug),,229.11212.74,197.71170.86,0.18,0.19
29,B1 (mg),,2.100.67,2.030.62,0.33,0.18
30,B2 (mg),,2.19  0.75,2.16 0.84,0.72,0.83
31,B3 (mg),,25.30  8.42,25.0210.06,0.80,0.96
32,B5 (mg),,6.51  2.10,6.42  2.73,0.76,0.88
33,B6 (mg),,2.20  0.69,2.120.72,0.33,0.23
34,B9 (g),,614.13179.57,591.83169.77,0.73,0.17
35,B12(g),,4.31  2.21,4.30 2.25,0.97,0.90
36,C (mg),,196.48114.00,190.16138.70,0.67,0.75
37,Others,,,,,
38,Caffeine (mg),,159.39184.84,138.71  98.94,0.26,0.28
39,Fiber (g),,45.07  19.28,44.3117.59,0.73,0.84
