,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,food,Name,Name,Size,u1,u1,u2,u3,u4,u5,u6,u7,,u8,10
1,code,Kiswahili,English,,bowl,bowl,glass,cup,plate,tbsp,tsp,saucer,saucer,unit,Average
2,126,jusi ya pensheni,Passion Juice,A,,,,,,,,,,,200
3,127,pichi,Peaches,S,,,,,,,,,,60,
4,127,pichi,Peaches,M,.,,.,,,:,.,,,80,
5,127,pichi,Peaches,L,,,,,,,,,,150,
6,127,pichi,Peaches,A,,,,,,,,,,,100
7,128,rasiberi,Raspberry,A,,,,,,,,,,,100
8,129,tofaa,Apple,A,,,,,,,,,,,100
9,157,korosho,Cashewnuts,Std,,,,,,,,,,100,100
10,157, korosho,Cashewnuts,A,,,,,,,,,,,
11,160,maji ya madafu,Coconut water immature,A,,,,,,,,,,,300
12,164,karanga kiungio,Groundnuts in indiv dish,Std,,,,,,,,,,20,
13,164, karanga tupu,Groundnuts as snack,Std,,,,,,,,,,50,
14,164,karanga tupu,Groundnuts as snack,A,,,,,,,,,,,50
15,165,mbaazi,Pigeon peas,Std,,500,,,,,,,200,,
16,165,mbaazi,Pigeon peas,A,,,,,,,,,,,200
17,166,mbaazi mbichi,Pigeon peas-green,Std,,400,,,,,,,200,,
18,166,mbaazi mbichi,Pigeon peas-green,A,,,,,,,,,,,200
19,169,mbegu ya alizeti,Sunflower seeds,A,,,,,,,,,,,10
20,201,kipande cha maini,Liver piece,S,,,,,,,,,,50,
21,201,kipande cha maini,Liver piece,M,,,,,,,,:,,80,
22,201,kipande cha maini,Liver piece,L,,,,,,,.,,,180,
23,201,kipande cha maini,Liver piece,A,,,,,,,,,,,100
24,202,kipande nyama ya ngombe,Beef -piece,S,,,,,,,,,,12,
25,202,kipande nyama ya ngombe,Beef -piece,M,,,,,,.,,,,25,
26,202,kipande nyama ya ngombe,Beef - piece,L,.,,,,,,,,,50,
27,202,kipande cha nvama va ngombe,Beef-piece,A,,,,,,,,,,,30
