,0,1,2
0,607,Papaya juice, Juisi ya papai
1,126,Passion juice,Juisi ya pesheni
2,606,Water melon juice,Juisi ya tikiti maji
3,F3,Vegetables,Mboga
4,421,African egg plant,Nyanya chungu
5,401,"Amaranth, raw",Mchicha mbichi
6,424,"Bean, cluster",Guar
7,425,"Bean, fresh",Maharage machanga
8,431,"Cabbage, Chinese, raw",Kabichi Chinese
9,402,"Cabbage,cooked",Kabichi ya kupika
10,403,"Cabbage, green or white, raw",Kabichi nyeupe
11,430,"Carrot, juice",Juisi ya karoti
12,404,"Carrot, raw",Karoti isiyopikwa
13,409,"Cassava, leaf",Kisamvu (Majani ya mhogo)
14,405,"Cauliflower, cooked without salt",Kaoliflower
15,406,"Cauliflower,raw",Kaoliflower mbichi
16,427,"Chilli,green",Pilipili za kijani
17,410,Cowpea leaf,Majani ya kunde
18,407,"Cucumber, with peel, raw",Tango
19,408,"Eggplant,raw",Biringanya
20,411,"Green medium, leaf",Mboga za majani
21,429,Green pepper (capsicum),Pilipili hoho
22,426,Hare lettuce (mchunga),Mchunga
23,414,Lettuce,Mboga ya majani
24,415,Mushroom,Uyoga
25,416,"Okra,raw",Bamia
26,417,"Onion, raw",Kitungu
27,418,"Pea, green,fresh",Njegere mbichi
28,433,"Pepper, dried or fresh, hot",Pilipili kavu au mbichi kali
29,412,"Pumpkin leaf, raw",Majani ya maboga
30,419,"Pumpkin, cooked",Boga la kupikwa
31,432,"Salad, green",Saladi
32,420,"Spinach, cooked",Spinachi iliyopikwa
33,428,Sweet potato leaf,Matembele
34,413,"Taro leaf, raw",Majani ya maghimbi
35,422,Tomato green,Nyanya mbichi
36,423,"Tomato, ripe",Nyanya mbivu
