,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,,,,Benin,,,,,,,Ghana,,,
1,,,NPNL,,,,P/L,,,NPNL,,,,P/L,
2,,U,,R,,U,,R,U,,R,,U,,R
3,Basic diets,X,,X,,X,,X,X,,X,,X,,X
4,Fortification,,,,,,,,,,,,,,
5,Salt,X,,X,,X,,X,,,,,X,,X
6,Oil,X,,X,,X,,X,X,,X,,X,,X
7,Wheat flour,X,,,,X,,,X,,,,X,,
8,Biofortification,,,,,,,,,,,,,,
9,Maize,,,,,,,,X,,X,,X,,X
10,Sweet potatoes,,,,,,,,X,,X,,X,,X
11,Supplementation,,,,,,,,,,,,,,
12,IFA,,,,,X,,X,,,,,X,,X
13,High-dose Vit A,,,,,,,,,,,,X,,X
14,MN-rich food,,,,,,,,,,,,,,
15,Red palm oil,X,,X,,X,,X,X,,X,,X,,X
16,Fried tilapia,X,,X,,,,,X,,X,,,,
17,Mango,X,,X,,X,,X,X,,X,,X,,X
18,Fortified biscuit,,,,,X,,X,,,,,X,,X
