,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Food items,Group A,Group B,Group C,Group D,Group E,Group G,Group J,Group K,Group M,Group N,Group Q,Group T
1,,Cereals,Starchy,Legume....,[Vegetables,Fruits,Fishes,[Milk,Fats...,Sugars...,Spice....,BeveragesMixed dishes,BeveragesMixed dishes
2,Corn,kernel,,,"Corn, baby",,,,,,,,
3,Glutinous rice,"raw,",,,,,,,,,,,cooked in
4,,cooked,,,,,,,,,,,coconut milk
5,"Sweet potato, Cassava",,"head, root,",,"tip, leaf",,,,,,,,
6,,,Iflour,,,,,,,,,,
7,"Mung bean, Yard-long bean.",,,seeds,"sprout, pods",,,,,,,,
8,"Cowpea, Winged bean, Pea",,,,,,,,,,,,
9,Soybean,,,"seed, tofu,",sprout,,,,soybean oil,,sauce,,
10,,,,soybean,,,,,,,,,
11,,,,paste,,,,,,,,,
12,Jackfruit,,,seed,young fruit,Imature,,,,,,,
13,,,,,,fruit,,,,,,,
14,Water melon,,,seed,,mature,,,,,,,
15,,,,,,[fruit,,,,,,,
16,Pumpkin,,,seed,fruit,,,,,,,,
17,[Tamarind,,,seed,young pod,Imature,,,,,,,
18,,,,,young leaves|pod,young leaves|pod,,,,,,,
19,Coconut,,,,young tip,lyoung,,,"grated,",sugar coated,,juice,
20,,,,,,coconut,,,"roasted, milk Idried coconut","roasted, milk Idried coconut",,,
21,Papaya,,,,raw fruit,[ripe fruit,,,,,,,
22,"Garlic, Ginger, Galanga,",,,,"leaves,",,,,,,"clove, root,",,
23,Coriander,,,,flowers,,,,,,seed,,
24,Chilli,,,,Bell pepper,,,,,,"bird chilli,",,
25,,,,,,,,,,,hotpepper,,
26,Tiny shrimp,,,,,,meat,,,,paste,,
27,Fish,,,,,,meat,,,,"Sauce,",,
28,,,,,,,,,,,paste,,
29,Dairy products,,,,,,,"milk,",butter,,,,
30,,,,,,,,"lyoghurt,",,,,,
