,0,1,2,3,4,5,6
0,,,First limiting amino-acid,First limiting amino-acid,,,
1,Product,Name,Protein,g/100g,g/100g,egg,Score %
2,,Name,%,product,protein,protein,Score %
3,Pork,Methionine and Cystine,12.49%,0.39,3.13,6.41,48.83
4,Cow's milk - fresh,Methionine and Cystine,3.21%,0.10,3.15,6.41,49.14
5,Cow's milk - yoghurt,Methionine and Cystine,3.24%,0.10,3.09,6.41,48.21
6,Cow's cheese,Methionine and Cystine,16.41%,0.49,4.03,6.41,62.87
7,Balkan yellow cheese,Methionine and Cystine,24.02%,0.72,3.97,6.41,61.93
8,Bread wheat,Lysine,7.11%,0.17,2.33,7.18,32.45
9,Beans,Methionine and Cystine,19.14%,0.35,1.79,6.41,27.93
10,Lentil,Methionine and Cystine,23.33%,0.36,1.53,6.41,23.87
