,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Vitamins,VITA,A_VITA,VITD,VITE,VITC,THIA,RIBF,NIA,VIT B6,FOL,VIT B12PANT,VIT B12PANT
1,,, g RE,u g RE,g,g,mg,mg,mg,mg,mg,g,g,mg
2,765,Okra relish with coconut milk,43.0,0.0,0.0,0.0,10.0,0.1,0.1,0.5,0.1,16.0,0.0,0.1
3,781,"Okra, fried",28.5,0.0,0.0,0.1,5.1,0.0,0.0,0.3,0.0,15.8,0.0,0.0
4,780,Sweet potato leaf relish with coconut milk,770.0,0.0,0.0,3.2,39.0,0.1,0.1,0.8,0.3,175.6,0.0,0.5
5,777,Potato leaf relish with milk,385.6,0.0,0.0,72.7,13.3,0.1,0.1,0.5,0.1,94.2,0.0,0.0
6,764,Potato leaf relish with oil,637.4,31.4,0.0,4.0,21.0,0.1,0.2,0.8,0.3,149.4,0.2,0.2
7,772,Potato samosa,0.0,0.0,0.0,1.0,4.0,0.1,0.0,0.7,0.1,7.0,0.0,0.4
8,769,Pumpkin leaf relish without oil,343.7,0.0,0.0,1.0,16.6,0.0,0.0,0.3,0.1,59.5,0.0,0.2
9,768,Pumpkin leaf relish with oil,324.6,0.0,0.0,1.0,15.7,0.0,0.0,0.3,0.1,56.2,0.0,0.2
10,770,Spinach relish with groundnut and oil,42.3,0.0,0.0,0.1,2.8,0.0,0.0,0.1,0.1,9.6,0.0,0.0
11,752,Spinach relish without oil,43.8,0.0,0.0,0.0,85.8,0.1,0.2,0.9,0.4,88.6,0.0,0.2
12,753,Spinach relish with oil,296.6,0.0,0.0,0.2,23.2,0.1,0.2,0.7,0.4,76.2,0.0,0.2
13,771,Spinach relish with sesame seeds,264.3,0.0,0.0,0.2,7.1,0.1,0.1,0.8,0.3,60.7,0.0,0.1
14,785,Tomato relish,56.0,0.0,0.0,0.0,18.0,0.1,0.1,0.6,0.1,13.0,0.0,0.3
