,0,1,2,3,4
0,,,,Public,
1,,Clinical,,health/,Food
2,,practice,Research,education,industry
3,Estimating/comparing the,,,,
4,nutrient content of foods,,,,
5,Identifying sources of particular nutrients,,,,
6,Analysing individuals' diets,J,,,
7,Devising special diets for patients,,,,
8,"e.g. heart disease, coeliac disease",,,,
9,Patient information,,,,
10,Analysing dietary survey data,,,,
11,Assessing how dietary intake affects,,,,
12,health and disease outcomes,,,,
13,Devising special diets for,,,,
14,epidemiological research,,,,
15,Monitoring food and nutrient availability,,,,
16,Development of dietary guidelines,,,J,
17,Implementation and monitoring,,,,
18,of food legislation,,,,
19,Consumer information and education,,,,
20,Preparing educational materials,,,,
21,(e.g.for schools),,,,
22,Food labelling and nutrient claims,,,,V
23,Product development and reformulation,,,,J
24,Marketing of products,,,,
25,,,,,V
26,Recipe and menu development and,,,,
27,analysis,,,,
28,Devising special diets for healthy people,,,,
29,with particular needs (e.g. athletes),,,,
30,Completing missing values in a dataset,,,,
