,0,1,2
0,Compilers,International studies,Others
1,Denmark:Anders Moller,EPIC,Information expert
2,France:Jayne Ireland,IARC,"Ian Unwin,U.K."
3,Germany:Christine,Elio Riboli,
4,"Klemm,Andrea Springer",Ruth Charrondiere,Food industry
5,Greece:Efthimia Grilli,Jerome Vignat,"Detlef Mueller,Procter"
6,Effi Vasilopoulou,Nadia Slimani,"& Gamble,"
7,Italy:Simonetta Salvini,EPIC centres,"Schwalbach,Germany"
8,The Netherlands:Susanne,Denmark: Connie Stripp,
9,Westenbrink,France: Maryvonne Niravong,
10,Sweden:Wulf Becker,The Netherlands: Marga Ocke,
11,Spain:Andreu Farran,"Jose Drijvers,Maryse Niekerk",
12,U.K.:Susan Church,"Norway:Guri Skeie,Dagrun",
13,U.S.A.:Joanne Holden,Engeset,
14,,SENECA,
15,,"Wija van Staveren, The Netherlands",
16,,EURALIM,
17,,"Lluis Serra,Spain",
