,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,,,,,,,,,, Main nutrients,,,,,,,Minerals,,,,,,,,Vitamins,,,
1,,,,,,DEN,(ENERC),WATER,PROCNT,FAT,CHOCDF,FIBTG,ASH,CA,P,NA,,FE,,CU,ZN,RETOL,CARTB,VITA_RAE,THIA,RIBF,NIA,VITC
2,Food ID,Origin,Food and description,Alternate name,Alternate name,g/mL,kcal,,g,9,g,g,g,mg,mg,mg,mg,mg,mg,,mg,mcg,mcg,mcg,mg,mg,mg,mg
3,,,,,,,,,,,,,,,,,,Torrre,,,,,,il,i,,,
4,B,"Starchy roots, tubers and products","Starchy roots, tubers and products",,,,,,,,,,,,,,,,,,,,,,,,,
5,AAB1,"VNB40,PHB025","Arrowroot,flour",Bot dong loc(VN),Bot dong loc(VN),,347,13.3,0.4,(0.5),85.1,0.4,0.3,35,21,,,4.5,,,,0,20,2,T,0.01,T,0
6,,,,Ubi Kayu(MY). Kamoteng,Ubi Kayu(MY). Kamoteng,,,,,,,,,,,,,,,,,,,,,,,
7,AAB6,"THB12,MYB72","Cassava, tuber, fresh, raw",aha(THCu,aha(THCu,,146,61.9,0.8,0.2,34.5,1.7,0.9,32,37,2,198,1.0,,,,0,5,0,0.05,0.12,0.50,45
8,,"THB12,MYB72",,san(VN),,,,,,,,,,,,,,,,,,,,,,,,
9,AAB8,"IDB4,MYB65","Coleus, tuber, raw",Ubi kembil(MY),Ubi kembil(MY),-,(96),75.9,1.4,0.5,(21.4),,0.8,26,34,9,269,0.7,0.20,,0.3,0,0,0,0.11,0.04,1.50,7
10,AAB10,MYB66,"Potato, fresh, raw",Pataas(PH)lTH),Pataas(PH)lTH),-,76,79.4,2.2,0.1,15.7,1.6,1.0,24,58,30,176,1.4,,-,-,0,0,,0.12,0.07,1.30,30
11,AAB12,"IDB11,MYB68","Sago, flour",Sagu(MY),,-,349),12.8,0.6,0.2,(86.3),,0.1,11,12,11,4,0.8,0.10,,0.1,0,0,0,0.00,0.00,0.10,0
12,AAB14,,,aunaa(TH),aunaa(TH),-,(103),73.6,0.7,0.3,(24.4),,1.0,26,43,1,1,0.9,T,,0.2,0,24,2,0.08,0.04,0.80,23
13,AAB16,,,Duti(PH),"Ubi keledek(MY). Kamote,",-,106,71.9,0.6,0.5,23.5,2.4,1.1,66,31,3,5,0.7,0.10,,0.2,0,13,,0.16,0.07,0.60,36
14,AAB18,"IDB7,THB9","Sweet potato, yellow, fresh.",TH,TH,-,94,73.9,0.6,0.3,20.3,4.0,0.9,64,43,3,1,0.4,0.10,,0.2,0,756,63,0.08,0.05,0.60,27
15,AAB20,MYB73,"Tapioca,flour","kahoy(PH),uilosl","kahoy(PH),uilosl",,(355,11.0,0.8,0.1,(87.6),,0.5,64,36,1,7,1.0,,,,0,0,0,0.03,0.02,0.40,0
16,,MYB73,,a(TH,a(TH,,,,,,,,,,,,,,,,,,,,,,,
17,AAB21,,"Taro, fresh, raw",Khoai nuc(VN),"Gabi(PH),Lfan(TH),",,117,68.8,1.7,0.1,26.1,2.4,0.9,49,46,11,252,0.8,0.20,,0.8,0,15,1,0.11,0.07,1.00,6
18,AAB22,THB1,,"ng9u,ia(TH)","ng9u,ia(TH)",-,135,64.8,3.6,0.1,(30.0),,1.5,23,89,,1,4.6,-,-,,0,-,-,0.27,0.04,0.00,9
19,AAB26,"PHB022,VNB42","Yam, spiny, fresh, raw","[Tugi(PH), Khoai mon(VN)","[Tugi(PH), Khoai mon(VN)",,118,69.1,1.3,0.2,27.2,1.2,1.0,68,42,-,,1.2,,,-,0,0,0,0.08,0.03,0.30,9
