,0,1,2,3
0,,RDA,Source claim,Rich source
1,,,1/6 of the RDA),50% of the RDA)
2,Vitamin A (ug),800,133,400
3,Vitamin D (g),5,0.83,2.5
4,Vitamin E (mg),10,1.7,5
5,Vitamin C (mg),60,10,30
6,Thiamin (mg),1.4,0.23,0.7
7,Riboflavin (mg),1.6,0.27,0.8
8,Niacin (mg),18,3,9
9,Vitamin B. (mg),2,0.3,1
10,Folic acid (ug),200,33.3,100
11,Vitamin Bg),1,0.16,0.5
12,Biotin (mg),0.15,0.025,0.075
13,Pantothenic acid (mg),6,1,3
14,Calcium (mg),800,133,400
15,Phosphorus (mg),800,133,400
16,Iron (mg),14,3,7
17,Magnesium (mg),300,50,150
18,Zinc (mg),15,2.5,7.5
19,lodine (g),150,25,75
