,0,1,2
0,Food ID,English name and description,Scientific name
1,D,Vegetables and products (continued),
2,AAD28,"Carrot, raw",Daucus carota
3,AAD29,"Cashew nut, leaf and top, raw",Anacardium occidentale
4,AAD30,"Cassava, young leaf and top, raw","Manihot utilissima, M. esculenta"
5,AAD31,"Cassia, flower, raw",Cassia siamea
6,AAD32,"Cassia, leaf, raw",Cassia siamea
7,AAD33,"Cassia, tender tip, raw",Cassia siamea
8,AAD34,"Cauliflower, inflorescence, raw",Brassica oleracea var.botrytis
9,AAD35,"Celery, leaf and petiole, raw",Apium graveolens
10,AAD37,"Chayote, fruit, raw",Sechium edule
11,AAD40,"Chrysanthemum, leaf, raw",Chrysanthemum coronarium
12,AAD41,"Coriander, leaf, raw",Coriandrum sativum
13,AAD42,"Corn, baby",Zea mays
14,AAD43,"Corn, baby, in brine, canned, drained",Zea mays
15,AAD44,"Cowpea, mixed variety, pod, raw","Vigna sinensis, V. unguiculata"
16,AAD46,"Cucumber,long",Cucumis sativus
17,AAD45,"Cucumber, small",Cucumis sativus
18,AAD52,"Egg plant,purple,raw",Solanum melongena
19,AAD50,"Eggplant/aubergine, green, long, raw",Salonum melongena
20,AAD54,"Eggplant/brinjal, raw",Solanum xanthocarpum
21,AAD154,Fennel,Eryngium foetidum
22,AAD57,"Garlic, leaf, raw",Allium sativum
23,AAD59,"Gourd, bitter, leaf and top, raw",Momordica charantia
24,AAD60,"Gourd, bitter, mixed variety, raw",Momordica charantia
25,AAD62,"Gourd, bottle, raw","Lagenaria siceraria, L.vulgaris"
26,AAD63,"Gourd, snake, raw",Trichosanthes anguina
27,AAD64,"Gourd, sponge, raw",Luffa cylindrica
28,AAD65,"Gourd, wax, mixed variety, raw","Benincasa hispida, B. cerifera"
29,AAD61,"Gourd/cucumber, bitter, Thai variety, raw",Momordica charantia
30,AAD48,"Horseradish, leaf, raw",Moringa oleifera
31,AAD49,"Horseradish-tree, pod, raw",Moringa oleifera/M. pterygosperma
32,AAD67,"Indian pennywort, leaf, raw",Centella asiatica
33,AAD58,"Ivygourd, raw",Coccinia grandis I C. indica
34,AAD68,"Jackfruit, unripe",Artocarpus heterophyllus
35,AAD71,"Jute, leaf, raw",Corchorus olitorius
36,AAD72,"Kale,Chinese, raw",Brassica oleracea var.alboglabra
37,AAD153,"Leek, Chinese, onion fragant",Allium porrum
38,AAD74,"Leek, Chinese, raw",Allium odorum
39,AAD75,"Lettuce, garden, leaf and petiole",Lactuca sativa
40,AAD76,"Loofah, angled",Luffa acutanguta
41,AAD80,"Mung bean, sprout, raw",Phaseolus aureus
