,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,,,,,,,,,,, Main nutrients,,,,,,,Minerals,,,,,,,Vitamins,,,
1,,,,,,,DEN,(ENERC),WATER,PROCNT,FAT,(CHOCDF),FIBTG,ASH,CA,,NA,K,FE,CU,ZN,RETOL,CARTB,VITA_RAE,THIA,RIBF,NIA,VITC
2,ASEAN,,Food and description,,,Alternate name,g/mL,kcal,g,g,,g,g,g,mg,mg,mg,mg,mg,mg,mg,mcg,mcg,mcg,mg,mg,mg,mg
3,Food ID,,Food and description,,,Alternate name,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,Fe,,uzou,,,,,,,
5,,Mixed food dishes: local,Mixed food dishes: local,,,,,,,,,,,,,,,,,,,,,,,,,
6,,Cereal dishes,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AAT351,THT68,iced por,,[1anwyTH),[1anwyTH),-,(57),87.7,1.6,2.6,(6.9),,1.2,6,,,,0.5,,,,,,,,,
8,AAT12,THT50,"Poridge, rice, ready to eat",,,,,(59),85.4,4.1,0.8,(8.9),-,0.8,-,,205,129,,,-,,-,-,-,,-,-
9,AAT362,THT65,Rice and easoned fied porkyTH,,Rice and easoned fied porkyTH,Rice and easoned fied porkyTH,-,(144),67.4,7.7,3.2,(21.1),,0.6,-,,222,208,,,-,-,-,-,,-,,-
10,AAT353,THT51,Rice poridge with pork,,,,,(65),84.2,4.2,1.2,(9.4),,1.0,,72,272,136,,,,,-,-,,-,-,
11,AAT366,THT48,Ricew/ pig leg and gravy,,,,-,161,65.3,7.2,5.9,19.3,1.0,1.3,236,43,324,52,0.8,,,,,,0.08,0.21,1.00,
12,AAT363,THT54,,,alnlunTH,alnlunTH,-,(188),59.5,8.6,6.6,(23.6),,1.7,172,66,,,0.4,,,,-,,-,0.07,0.20,3
13,AAT364,THT56,,,,,,(151,69.0,5.9,6.7,(16.7),,1.7,103,62,141,91,0.6,,,,-,-,0.02,0.25,1.90,-
14,AAT359,THT44,spices soup,spices soup,nliwela(TH),nliwela(TH),,(181),61.6,5.7,6.4,(25.2),-,1.1,,,305,134,3.7,,,-,,,-,-,,-
15,AAT204,THT39,ish curry,ish curry,TH),TH),-,82,80.4,2.7,2.1,13.0,0.4,1.5,70,32,419,,0.1,,,,:,:,:,0.25,0.80,-
16,AAT347,THT123,beef bll and soup,,(TH),anjanua,-,(61),83.4,4.6,0.7,(9.0),,2.3,23,30,752,188,,,,,-,-,0.01,0.04,,-
17,AAT348,THT127,"Rice noodle,big size,with",,jTH,jTH,-,75,83.7,7.1,3.6,2.8,1.6,1.2,-,-,366,65,1.2,-,-,-,-,,,,,-
18,AAT113,THT131,crispy (Mee-krop),,MingaU(TH),MingaU(TH),,(505),9.1,2.9,29.4,(57.1),-,1.5,6,47,,-,0.6,-,-,,,-,0.08,0.00,2.00,2
19,AAT346,THT122,beef ball and soup,,(TH),n,-,49,87.5,3.2,1.3,5.8,0.7,1.5,44,40,440,90,0.9,,,,-,,0.02,0.11,1.00,-
20,AAT345,THT121,"meat ball, w/o soup",,(TH),auwi.gnuas,-,(152),65.7,5.9,4.6,(21.7),,2.1,26,47,411,162,,-,,,,,0.02,0.06,1.30,-
21,AAT349,THT111,"pork,w/o soup",,any TH,any TH,-,(209),59.5,7.9,10.4,(21.0),,1.2,147,128,311,132,1.9,,,575,-,-,0.08,0.54,2.50,1
22,,Fish and seafood dishes,Fish and seafood dishes,,,,,,,,,,,,,,,,,,,,,,,,,
23,AAT134,THT31,type cooked with coconut,nilk,WaNUIn(TH),WaNUIn(TH),-,126,76.9,7.2,9.0,3.4,1.4,2.1,73,-,350,-,6.9,-,-,10,-,10,-,,,
24,AAT147,THT134,"Baby clam, fried with chili",,,,,384,22.5,19.8,21.4,25.7,4.7,5.9,113,,1370,,12.2,,-,22,-,22,-,,,1
25,,Vegetable dishes,,,,,,,,,,,,,,,,,,,,,,,,,,
26,AAT13,THT73,"[Bamboo shoot salad,",,znlM1la'Ha(TH),znlM1la'Ha(TH),,(33),89.7,2.8,0.5,(4.4),,2.6,207,30,,,1.3,,,,,,,0.20,0.70,1
27,AAT149,THT103,Northeastern style,,"acin, 5anu(TH)","acin, 5anu(TH)",,(28),90.4,1.8,0.3,(4.5,,3.0,94,44,,,,,,,,,0.01,0.05,0.70,3
