,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,,,,,,,,,,,(mg),(mg),(mg),(mg),(mg),(mg),(mcg
1,55,129,66.2,1.68,0.09,29.95,0.94,1.18,0.59,1.01,21,n.d.,n.d.,0.100,n.d.,n.d.,n.d.,n.d.
2,56,129,66.7,1.28,0.42,29.58,1.04,0.94,0.67,0.78,23,n.d.,n.d.,0.090,n.d.,n.d.,n.d.,n.d.
3,57,147,80.5,4.30,9.90,1.68,2.55,1.09,5.57,1.54,20,n.d.,n.d.,0.150,n.d.,n.d.,n.d.,n.d.
4,58,118,80.5,4.30,9.90,1.68,2.55,1.09,5.57,1.54,48,n.d.,n.d.,0.150,n.d.,n.d.,n.d.,n.d.
5,59,89,86.7,0.76,8.41,2.23,0.85,1.05,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
6,60,12,95.9,0.23,0.05,2.20,0.88,0.73,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
7,61,166,76.7,0.55,16.41,3.36,1.51,1.51,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
8,62,82,75.9,1.86,1.14,14.22,3.84,3.01,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
9,64,151,67.1,0.11,6.98,21.92,n.d.,2.56,1.15,0.98,n.d.,22,48,n.d.,n.d.,n.d.,n.d.,n.d.
10,65,143,67.5,0.21,5.62,23.00,n.d.,2.20,0.85,n.d.,n.d.,23,47,n.d.,n.d.,n.d.,n.d.,n.d.
11,66,246,55.7,10.5,21.9,4.30,[1.70],n.d.,1.60,1.70,62,53,144,n.d.,0.500,315,50,4.80
12,67,145,76.1,5.50,11.81,3.13,1.94,1.58,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
13,68,159,76.5,2.40,15.23,1.21,3.75,0.89,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
14,69,115,80.1,4.91,9.49,0.95,3.00,1.52,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
15,70,96,61.1,13.06,15.86,4.43,3.18,2.34,5.52,2.50,n.d.,n.d.,n.d.,0.310,n.d.,n.d.,n.d.,n.d.
16,71,219,60.2,14.83,14.85,4.43,3.18,2.34,7.29,2.74,135,n.d.,n.d.,0.310,n.d.,n.d.,n.d.,n.d.
17,72,216,60.2,14.83,14.85,4.08,3.24,2.78,7.29,2.74,147,n.d.,n.d.,0.390,n.d.,n.d.,n.d.,n.d.
18,73,324,41.6,20.90,21.89,8.58,4.48,2.59,3.28,2.96,141,n.d.,n.d.,0.340,n.d.,n.d.,n.d.,n.d.
19,74,201,49.5,4.52,6.82,37.32,0.94,0.89,1.51,1.66,46,n.d.,n.d.,0.110,n.d.,n.d.,n.d.,n.d.
20,75,231,79.5,4.08,11.25,1.24,3.33,0.57,2.64,0.56,55,n.d.,n.d.,0.140,n.d.,n.d.,n.d.,n.d.
21,76,129,77.9,4.08,11.25,1.24,3.33,0.57,2.64,0.56,57,n.d.,n.d.,0.140,n.d.,n.d.,n.d.,n.d.
22,77,119,77.9,5.97,9.06,1.50,3.92,1.62,2.10,0.70,45,n.d.,n.d.,0.110,n.d.,n.d.,n.d.,n.d.
23,78,213,73.1,4.50,17.08,3.00,1.40,1.73,3.91,0.91,37,52,67,0.230,0.400,229,24,1.50
24,79,200,82.3,3.80,12.20,2.30,[1.00],n.d.,0.80,0.40,82,n.d.,n.d.,0.230,0.300,n.d.,n.d.,0.90
25,80,128,82.3,3.80,12.20,2.30,[1.00],n.d.,0.80,0.40,29,45,60,n.d.,0.300,209,21,0.90
26,81,153,75.5,5.40,13.50,4.60,[2.30],n.d.,0.90,0.70,43,103,114,n.d.,0.600,228,21,1.10
27,82,126,79.9,8.00,9.70,2.10,[0.90],n.d.,0.90,1.50,23,25,82,n.d.,0.300,177,30,3.30
28,83,97,74.6,1.84,0.06,21.58,1.43,0.49,0.34,1.05,6,n.d.,n.d.,0.040,n.d.,n.d.,n.d.,n.d.
29,84,95,76.1,1.84,1.23,18.32,1.86,0.66,0.57,0.84,7,n.d.,n.d.,0.040,n.d.,n.d.,n.d.,n.d.
30,85,33,92.0,0.80,0.20,7.00,[0.70],n.d.,0.10,0.10,5,2,8,n.d.,0.000,15,3,0.70
