,0,1,2,3
0,Nutrient,RDV(FAO),RDV (FDA),MRV (FDA)
1,Protein,40-50g,50g,
2,Vitamin A,700-1000g RE,5000IU,
3,Vitamin C,50-60 mg,60 mg,
4,Calcium,500-800 mg,"1,000 mg",
5,Iron,7-40 mg,18 mg,
6,Zinc,12-20 mg,,
7,Folate,300-400 ug,,
8,Thiamine,1.0-1.6 mg,,
9,Riboflavin,1.2-1.8 mg,,
10,Vitamin B-12 1.0-2.0 g,Vitamin B-12 1.0-2.0 g,,
11,Vitamin D,5.0-10.0 ug,,
12,Vitamin E,7.0-10.0 mg,20 mg,
13,Niacin,12-20 mg,,
14,Vitamin K,40-80ug,,
15,Vitamin B-6,1.2-2.0 mg,,
16,Fiber,16-40 g,25g,
17,Potassium,,3.5 g,
18,Saturated fat(g),,,20 g
19,Added sugar(g),,,50g
20,Sodium (mg),,,2400 mg
21,,Nutrients of public health importance for Bangladesh in addition to above list,,Nutrients of public health importance for Bangladesh in addition to above list
22,Carbohydrate,,,300g
23,Total fat,,,20g
24,Jaggery/Sugar,,,50g
25,Source:,,,
