,0,1,2,3
0,,Food Analysis,ITJ,STJ
1,Usual dietn=24,,,
2,Energy(kcal,615.056.8,647.565.6*,664.772.3***
3,Protein (g),25.45.0,26.13.8,27.44.4**
4,Lipid(g),14.84.8,16.56.9,17.77.7*
5,Carbohydrate (g,94.913.2,94.911.3,94.810.4
6,Sodium (mg),1324.3313.5,1627.7336.5*** 1663.7379.9***,1627.7336.5*** 1663.7379.9***
7,Potassium (mg),622.3155.7,891.1162.7***.t 960.7168.7***,891.1162.7***.t 960.7168.7***
8,Low energy control diet (n=24),Low energy control diet (n=24),,
9,Energykcal,387.344.3,410.351.3***,416.151.0***
10,Protein (g),20.43.9,21.13.3,21.73.6*
11,Lipid(g),10.73.2,11.53.8,11.83.7
12,Carbohydrate(g),52.28.1,53.98.9*,54.18.4*
13,Sodium (mg),775.9158.0,955.4232.4**,986.5222.0***
14,Potassium (mg),578.1204.6,824.6222.0***,886.5243.1***
15,Sodium control diet(n-24),Sodium control diet(n-24),,
16,Energy (kcal),400.284.0,507.194.4***,511.392.7***
17,Protein (g),21.13.8,22.94.0**,23.64.1***
18,Lipid(g),10.75.0,13.46.4***,13.56.4***
19,Carbohydrate (g),54.912.7,71.514.0***,71.313.7***
20,Sodium (mg),814.3151.8,1029.0252.0*** 1047.9244.6***,1029.0252.0*** 1047.9244.6***
21,Potassium (mg),604.9202.6,849.0222.2***,912.0253.8***
22,Hemodialysis diet(n-24,Hemodialysis diet(n-24,,
23,Energy(kcal),528.282.5,558.986.7*,579.698.9***
24,Protein (g),19.44.8,19.64.6,21.16.6
25,Lipid(g),12.75.5,15.96.7***,17.67.4***
26,Carbohydrate (g),84.017.1,81.313.6,81.412.7
27,Sodium (mg),417.5149.0,595.8263.1***,623.2292.2***
28,Potassium (mg),386.3136.4,580.8150.0***.,646.2151.8***
