,0,1,2,3,4,5,6,7,8,9
0,,,,,,,,,Pumpkin,
1,,,,,Okra,,,,leaves and,Green
2,,Chicken,,Groundnut,pod,Yellow,Koki,Plantain,huckleberry vegetable,huckleberry vegetable
3,,stewb,Eruc,soupa,soupb,soupb,beansc,porridgeb,saucec,sauceb
4,Number of,3,3,3,3,2,2,2,2,2
5,recipes,,,,,,,,,
6,collected,,,,,,,,,
7,Energy (kcal),269,209,250,126,144,169,144,115,197
8,Energy (kJ),1125,873,"1,047",528,601,708,602,480,826
9,Water (g),94.4,73.7,61.8,79.9,83.4,73.1,70.9,79.3,72.7
10,Protein (g),19.2,2.2,8.1,8.0,0.1,3.2,1.6,6.0,2.6
11,Carbohydrates,2.1,1.1,3.9,2.1,0.4,8.6,18.7,4.2,3.0
12,g,,,,,,,,,
13,Fat(g),20.2,22.4,23.7,9.7,16.0,14.0,8.0,9.4,20.3
14,Saturated fat (g),8.6,10.9,8.0,4.4,7.9,6.8,3.9,1.3,9.4
15,Monounsaturated,7.4,8.3,10.0,3.8,5.9,5.1,2.9,4.6,7.1
16,fat (g),,,,,,,,,
17,Polyunsaturated,2.8,2.1,4.6,0.9,1.5,1.5,0.8,3.0,2.8
18,fat (g),,,,,,,,,
19,Omega-3 fatty,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1
20,acid (g),,,,,,,,,
21,Omega-6 fatty,2.5,2.0,4.4,0.8,1.5,1.4,0.7,2.9,1.7
22,acid (g),,,,,,,,,
23,Cholesterol (mg),65.0,5.6,0.0,25.2,0.0,0.0,2.5,0.0,0.0
24,Total dietary,0.9,0.4,1.9,0.9,0.0,2.1,1.5,2.0,0.9
25,fiber g),,,,,,,,,
26,Thiamin (mg),0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.2,0.1
27,Riboflavin (mg),0.2,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1
28,Niacin (mg),4.7,0.3,2.5,1.9,0.0,0.7,0.6,2.5,0.6
29,Vitamin B-6 (mg),0.3,0.1,0.1,0.2,0.0,0.1,0.2,0.1,0.1
30,Total folate (g),16.8,30.2,51.5,23.0,0.3,33.3,15.4,73.8,58.3
31,Vitamin C (mg),7.8,19.4,1.3,5.0,0.4,17.1,12.1,30.1,23.7
32,Vitamin A (g,13.1,114,0.0,3.9,0.0,54.2,35.8,116,124
33,retinol,,,,,,,,,
34,equivalent),,,,,,,,,
35,Vitamin K (g),3.7,233,1.1,11.4,1.3,132,10.2,189,332
36,Calcium (mg),15.5,67.0,25.4,24.8,3.5,43.8,5.4,95.7,81.4
37,Iron (mg),1.1,0.6,1.0,0.9,0.0,1.6,0.5,1.3,1.3
38,Zinc (mg),2.1,0.3,0.7,1.5,0.0,0.4,0.2,0.8,0.7
39,Magnesium (mg),22.0,20.7,40.1,22.7,1.2,33.7,23.7,44.7,48.3
40,Manganese (mg),0.1,0.3,0.4,0.3,0.0,0.6,0.0,0.6,0.4
41,Selenium (g),15.5,1.3,1.5,3.3,0.1,0.9,1.2,1.8,0.6
42,Phosphorus (mg),140,35.2,120,81.7,1.7,64.4,28.4,95.2,61.2
43,Potassium (mg),286,222,236,177,5.3,287,318,335,341
44,Sodium (mg),69.7,34.4,27.0,29.9,1.8,13.5,6.3,19.8,31.3
