,0,1,2,3,4,5
0,Parameters,DRI1,Ekomba,Ekwang,Tenue militaire,Koki
1,Protein,13 g/day,38.2,10.8,16.4,41.6
2,Fat,30 g/day,26.6,14.2,17.5,19.5
3,Dietary fiber,19 g/day,9.0,1.1,4.1,4.9
4,Carbohydrates,130 g/day,17.1,11.9,11.1,11.7
5,Energy,1350 cal/day,13.4,7.8,8.4,10.0
6,Calcium,500 mg/day,6.1,2.7,4.9,7.8
7,Magnesium,80 mg /day,38.4,16.2,21.6,30.6
8,Sodium,1000 mg/day,56.8,33.6,37.5,51.6
9,Potassium,3000 mg/day,3.2,4.2,2.1,6.1
10,Iron,7 mg/day,7.2,16.6,21.6,19.4
11,Zinc,3 mg/day,21.2,8.9,10.6,37.8
12,Copper,0.34 mg/day,36.2,55.9,49.9,36.7
13,Manganese,1.2 mg/day,29.5,23.3,34.4,31.5
14,Vitamin A,0.3 mg RAE/day,35.9,108.8,119.2,119.1
