,0,1,2,3,4,5
0,,Meals,Sauces,Complements,Snacks,Total
1,Macronutrients,,,,,
2,Water (g),69.6 (29.888.9),77.39 (55.7-95.9),63.6 (53.5-76.6),62.61 (33.5-93),72.17 (29.8-95.9)
3,Energy (kcal),142.2 (46394),146.9 (12-269),140.5 (90-187),51.6 (11-85),147.5 (12-403)
4,Total fat (g),3.2 (0.1114.83),5.24 (0.1-19.2),1.94 (0.63-4.9),9.61 (0.8-20.9),4.39 (0.1-20.9)
5,Total fat (g),6.01 (0.324.95),12.56 (0.05-26.6),0.39 (0.06-3.14),12.58 (0.1-35),8.87 (0.05-35)
6,Available carbohydrates (g),18.22 (1.339.7),3.2 (0.415.15),31.79 (20.6440.32),12.79 (3.1-38.45),12.27 (0.440.32)
7,Fibre (g),2.36 (0.798.5),1.97 (0-5.57),0.99 (0-1.7),2.65 (0.36.1),2.09 (08.5)
8,Ash (g),1.25 (0.092.78),1.53 (0.354.44),0.61 (0.281.18),1.88 (0.722.59),1.33 (0.094.44)
9,Macrominerals,,,,,
10,Magnesium (mg),28 (6147),43 (1-158),19 (1-38),73 (5-141),39 (1-158)
11,Calcium (mg),48 (4-182),40 (4103),3 (1-4),26 (2-66),41(1-182
12,Phosphorus (mg),62 (7123),79 (2-187),26 (056),113 (8-267),71 (0267)
13,Sodium (mg),206(51-334),221 (5-399),54 (45-63),261(15-502,212 (5502)
14,Sodium (mg),40 (5150),29 (278),2(2-2),11 (3-20),27 (2150)
15,Trace elements,,,,,
16,Iron (mg),1.58 (0.387.29),1.68 (05.57),0.68 (0.34-1.40),2.26 (0.1-5.52),1.60 (0-7.29)
17,Zinc(mg),0.82 (0.12.74),0.77 (02.10),0.71 (0-1.05),1.52 (0.12.96),0.84 (02.96)
18,Copper (mg),0.079 (0.020.39),0.142 (0.060.23),0.068 (0.040.10),0.253 (0.110.340),0.112 (0.020.39)
19,Selenium (mcg),0.92 (0.201.70),3.03 (0.1-19.50),0.85 (01.70),3.15 (0.70-5.10),2.60 (019.50)
