,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Food,,,0:81 D,0:200,0:4Z D,1:11,,,,,,Z:8I D,9-u 'ss,,,'9:ZZ D
1,name,,,0:81 D,0:200,0:4Z D,1:11,,6-u,,-u,6-u,Z:8I D,9-u 'ss,,,'9:ZZ D
2,Pangas,033,,,850'0,0900,111'3,,,,,,1214,,000'0,,
3,Rohu,840'0,1090,,,$90'0,600,,,800'0,,,0002,,000,100'0,680'0
4,Tilapia,080'0,,61'0,,,0113,,,,,,,,010'0,,
5,Chicken,600'0,,,,620'0,800,,,900'0,,,,,,,
6,breast,600'0,,,,620'0,800,,,900'0,,,,,,,
7,Chicken,,1124,,1100,640'0,,66'7,,610'0,,,18'0,,840'0,,
8,leg,,1124,,1100,640'0,,66'7,,610'0,,,18'0,,840'0,,
9,Chicken,,,vZ9'0,,,0221,,,00'2,,,1138,,0002,,840'0
10,Eggs,,,vZ9'0,,,0221,,,00'2,,,1138,,0002,,840'0
