,0,1,2,3,4,5,6,7,8,9
0,,,,,,,Raw data,,Aggregateddata,Aggregateddata
1,Food description,,Scientific name,Processing,mg/100 g),No of samples,No of samples,Reference,Median,Range
2,,,,,36.50,NR,,Hrncirik & Velisek (1997),,
3,,,,,62.00,44,,Sones et al. (1984a),,
4,,,,,78.60,27,,Sones et al.(1984c,,
5,Cauliflower,,,Cookeds,42.00,44,,Sones et al. (1984a),40.5,
6,"Cauliflower, frozen",,,Raw,40.50,NR,,Sones et al. (1984a),40.5,
7,"Cauliflower, frozen",,,Cooked,27.90,NR,,Sones et al. (1984a),27.9,
8,Coleslaw,N/A,,Raw,42.20,NR,,Sones et al. (1984a),42.2,
9,Collards,Brassica oleracea var. acephala (sabellica,Brassica oleracea var. acephala (sabellica,Raw,200.67,5,,Carlson et al.1987,200.7,
10,Cress,Lepidium sativum,Lepidium sativum,Raw,658.20,NR,,Sones et al.(1984a),389.5,
11,,,,,658.20,NR,,Hrncirik & Velisek (1997),,
12,Horseradish,Armoracia lapathifolia Gilib,Armoracia lapathifolia Gilib,Raw,160.12,NR,,Hrncirik & Velisek (1997),100.7,
13,"Kale, unspecified",Brassica oleracea var acephala,Brassica oleracea var acephala,Raw,317.11,1,,Carlson et al. 1987),100.7,6.7-317-1
14,,,,,100.72,5,,Carlson et al. (1987),,
15,,,,Raw,6.67,NR,,Hrncirik & Velisek (1997),71.3,
16,"Kale,Chinese",Brassica oleracea var. alboglabra,Brassica oleracea var. alboglabra,Raw,62.20,2,,Yen & Wei (1993),71.3,
17,,,,Raw,80.39,24,,Hill et al. (1987),,
18,"Kale, curly",Brassica oleracea var.acephala,Brassica oleracea var.acephala,Raw,89.40,NR,,Sones et al.(1984a),89.4,
19,"Kale, curly",,,Raw,69.10,NR,,Sones et al. 1984a),69.1,
20,Kohlrabi,Brassica oleracea var. gongylodes,Brassica oleracea var. gongylodes,Raw,52.40,2,,Yen & Wei (1993),45.9,19.7-109.3
21,,,,,19.07,NR,,Hrncirik &Velisek (1997),,
22,,,,,39.35,1,,Carlson et al. 1987),,
23,,,,,109.30,NR,,Sones et al. (1984a),,
24,Kohlrabi,,,Cooked,73.40,NR,,Sones et al. (1984a),73.4,
25,Mustard greens,Brassica juncea,,Raw,118.09,28,,Hill et al. 1987),281.5,1181-544.5
26,,,,,544.47,2,,Carlson et al. (1987),,
27,,,,,281.50,2,,Yen & Wei (1993),,
28,"Radish, unspecified",Raphanus sativa,Raphanus sativa,Raw,12.50,NR,,Sones et al. (1984a),92.5,
29,,,,,172.40,2,,Yen &Wei (1993),,
30,"Radish,black",,,Raw,92.81,NR,,Hrncirik & Velisek (1997),108.1,
31,,,,Raw,123-39,1,,Carlson et al. (1985,,
32,"Radish,European",,,Raw,44.79,6,,Carlson et al.1985,73.9,
33,"Radish, white",,,Raw,70.97,7,,Hrncirik & Velisek (1997),73.9,
34,"Radish, red",,,Raw,76.78,7,,Carlson et al. (1985),,
35,"Radish, red",,,Raw,67.64,36,,Carlson et al.1985,67.6,
36,"Radish,Asian",,,Raw,138.01,41,,Carlson et al. (1985),123.4,
37,,,,,108.77,15,,Carlson et al. (1985),,
38,Swede,Brassica napus var. napobrassica,Brassica napus var. napobrassica,Raw,92.00,33,,Sones et al. (1984b),92.0,
39,Turnip,Brassica rapa,,Raw,140.48,60,,Sones et al. (1984b),93.0,20.4-140.5
40,,,,,140.48,60,,Hill et al. (1987),,
41,,,,Raw,20.44,NR,,Hrncirik & Velisek (1997),56.0,
42,Turnip-swede,NR,,Raw,56.00,44,,Sones et al. (1984a),56.0,
43,Watercress,,,Raw,29.10,44,,Sones et al. (1984a),29.1,
44,Watercress,Nasturtium officinale,Nasturtium officinale,Raw,95.00,NR,,Sones et al.1984a),95.0,
