,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Code,Energy,,Protein N  6.25,,Available carbohydrates,Crude fibrea,,,(mg),,,,(mg),,K,Na,Se
1,,(kcal),(g),g),(g),(g),(g),(g,(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mcg)
2,1,84,83.0,1.93,4.92,7.16,1.66,1.32,0.78,2.05,21,49,49,0.047,0.455,196,n.d.,n.d.
3,2,240,71.9,0.20,26.6,0.90,[0.20],n.d.,0.10,0.10,2,5,5,n.d.,0.000,31,5.,0.20
4,3,64,86.9,0.77,0.38,13.97,n.d.,0.12,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d..,n.d.
5,4,51,87.5,0.70,0.38,11.86,n.d.,0.12,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
6,5,48,87.5,0.70,0.30,11.40,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
7,,158,79.4,4.90,9.50,32.70,[0.00],n.d.,1.40,0.80,,1,0,n.d.,0.000,45,2,0.00
8,7,115,79.4,5.70,9.50,4.30,[0.90],n.d.,1.60,0.80,52,77,90,n.d.,0.600,334,70,1.70
9,9,89,77.4,19.20,20.20,2.10,[0.90],n.d.,1.10,2.10,23,16,140,n.d.,0.100,286,70,15.50
10,9,89,77.4,1.50,0.78,18.34,1.15,0.87,0.52,0.52,23,n.d.,n.d.,0.060,n.d.,n.d.,n.d.,n.d.
11,10,149,63.7,7.50,5.65,16.50,[3.40],n.d.,1.40,1.10,31,n.d.,n.d.,n.d.,0.500,n.d.,7,2.00
12,11,180,79.5,7.50,11.40,16.50,[3.40],n.d.,1.40,1.10,55,23,131,n.d.,0.500,317,7,2.00
13,12,105,79.5,6.06,7.61,1.29,3.65,1.90,2.09,0.83,65,93,n.d.,0.100,n.d.,n.d.,n.d.,n.d.
14,13,108,75.3,2.92,4.02,13.55,3.11,0.68,0.54,0.21,14,93,69,0.020,0.091,61,n.d.,n.d.
15,14,108,88.3,6.70,8.70,1.70,[0.90],n.d.,0.40,0.30,23,17,98,n.d.,0.200,185,37,0.70
16,15,167,57.9,0.63,0.21,40.32,0.60,0.34,0.75,1.04,20,n.d.,n.d.,0.050,n.d.,n.d.,n.d.,n.d.
17,16,25,93.0,3.30,0.10,3.10,[0.30],n.d.,0.40,0.20,11,12,48,n.d.,0.100,212,20,4.80
18,17,209,73.7,2.20,22.4,1.10,[0.40],n.d.,0.60,0.30,21,67,35,0.035,0.300,222,34,1.30
19,18,46,88.9,2.01,1.81,4.32,[2.26],0.90,1.20,0.13,15,35,15,0.035,0.643,114,n.d.,n.d.
20,19,160,68.7,7.94,15.53,1.14,4.55,2.34,2.49,0.76,64,n.d.,n.d.,0.230,n.d.,n.d.,n.d.,n.d.
21,20,185,68.7,7.94,15.53,1.14,4.55,2.34,2.49,0.76,60,n.d.,n.d.,0.180,n.d.,n.d.,n.d.,n.d.
22,21,107,81.1,5.99,8.23,1.33,1.81,1.50,3.55,1.25,74,n.d.,n.d.,0.210,n.d.,n.d.,n.d.,n.d.
23,22,111,80.4,6.65,6.35,1.38,1.73,0.65,3.98,1.43,74,n.d.,n.d.,0.190,n.d.,n.d.,n.d.,n.d.
24,23,95,82.7,5.58,6.35,3.16,1.56,0.65,1.01,0.67,37,n.d.,n.d.,0.080,n.d.,n.d.,n.d.,n.d.
25,24,176,75.1,2.10,15.28,2.80,1.64,4.44,1.92,1.10,22,n.d.,n.d.,0.060,0.200,n.d.,n.d.,n.d.
26,25,188,75.1,2.10,19.40,2.80,[1.20],n.d.,0.40,0.30,17,14,36,n.d.,0.200,113,5,0.60
27,26,187,65.8,4.41,1.92,27.63,n.d.,1.03,5.20,1.23,25,29,52,n.d.,1.334,63,n.d.,1.70
28,27,145,65.6,4.30,1.55,27.35,n.d.,1.14,5.74,1.75,n.d.,27,92,n.d.,1.170,n.d.,n.d.,n.d.
29,29,141,65.6,4.30,1.55,27.35,n.d.,1.14,5.74,1.75,n.d.,32,93,n.d.,1.170,n.d.,n.d.,n.d.
30,29,137,66.3,2.60,1.38,27.20,n.d.,1.15,4.92,1.55,n.d.,32,89,n.d.,1.281,n.d.,n.d.,n.d.
31,30,197,72.7,2.60,20.30,3.00,[6.10],n.d.,1.30,0.70,48,n.d.,61,n.d.,0.400,341,31,0.60
32,31,403,33.5,18.3,35.00,11.50,[6.10],n.d.,3.30,2.30,120,66,267,n.d.,1.400,502,14,5.10
33,32,250,61.8,8.10,23.70,3.90,[1.90],n.d.,1.00,0.70,40,25,120,n.d.,0.400,236,27,1.50
34,33,199,79.2,5.30,19.20,2.90,[0.90],n.d.,1.60,1.10,56,96,85,n.d.,0.500,399,42,3.40
35,34,134,73.7,3.37,3.93,13.59,3.53,1.92,0.73,0.31,18,51,18,n.d.,0.200,171,18,0.30
