,0,1,2,3,4,5,6,7
0,,Macronutrients,ENERGY_KC,PROCNT,A_PROTEI,MFP_PROT,FAT,CHOCDF
1,,,Kcal,g,g,g,g,g
2,205,"Beef liver, raw",135.0,20.4,20.4,20.4,3.6,3.9
3,204,"Beef, boneless",267.0,16.9,16.9,16.9,21.6,0.0
4,201,"Beef, liver, cooked",191.0,29.1,29.1,29.1,5.3,5.1
5,202,"Beef, medium fat, cooked",323.0,24.9,24.9,24.9,24.0,0.0
6,203,"Beef, tripe",83.0,14.5,14.5,14.5,2.4,0.0
7,206,Chicken liver,167.0,24.5,0.0,0.0,6.5,0.9
8,208,"Chicken, raw",200.0,18.8,18.8,18.8,13.2,0.0
9,306,Egg yolk,278.0,19.2,19.2,0.0,20.7,2.3
10,307,"Egg, chicken",155.0,12.6,12.6,0.0,10.6,1.1
11,308,"Fish, dried,cod",368.0,79.8,79.8,79.8,3.2,0.0
12,309,"Fish, dried, fresh water",335.0,58.6,58.6,58.6,9.4,0.0
13,220,"Fish, fresh",98.0,18.1,18.1,18.1,2.4,0.0
14,310,"Fish, high fat",103.0,10.6,10.6,10.6,6.8,0.0
15,311,"Fish, raw",112.0,21.4,21.4,21.4,2.3,0.0
16,312,"Fish, sardines",112.0,21.4,21.4,21.4,2.3,0.0
17,313,"Fish, small, dried, fresh water",335.0,58.6,58.6,58.6,9.4,0.0
18,314,"Fish, small, fresh, fresh water",84.0,14.8,14.8,14.8,2.3,0.0
19,319,"Fish, smoked, dried-AP",177.0,38.5,38.5,38.5,1.5,0.0
20,320,"Fish, smoked, dried-EP",306.0,66.4,66.4,66.4,2.5,0.0
21,315,Goat meat,269.0,24.9,24.9,24.9,18.0,0.0
22,316,"Mutton, meat",269.0,24.9,24.9,24.9,18.0,0.0
23,317,"Pork, medium fat, cooked",537.0,19.6,19.6,19.6,50.2,0.0
24,318,Sausage,369.0,19.7,19.6,19.6,31.2,1.0
