,0,1,2,3,4,5
0,Parameters,Unit,Ekomba,Ekwang,Tenue militaire,Koki
1,Proximate composition,,,,,
2,Moisture,g,61.53.5,77.64.8a,76.4 5.2a,71.0  4.4b
3,Ash,g,1.60.1a,1.10.1a,1.00.1a,1.70.1a
4,Protein,g,5.0  0.5a,1.40.1b,2.1  0.2b,5.4  0.2a
5,Fat,g,8.01.4a,4.30.6b,5.30.2b,5.9 0.3b
6,Dietary fiber,g,1.7 0.4a,0.2  0.1d,0.8  0.1c,0.90.1b
7,Carbohydrates,g,22.2  3.2a,15.41.3b,14.4 1.7b,15.20.3b
8,Energy,Kcal,180.8 6.4a,105.75.3d,113.56.4c,135.22.1b
9,Minerals,,,,,
10,Calcium,mg,30.4 1.4b,13.41.7d,24.4  0.4c,38.9  0.3a
11,Magnesium,mg,30.7  1.7a,12.9 1.4d,17.3  0.8c,24.5  3.2b
12,Sodium,mg,567.93.4a,336.2  2.1d,375.1 3.9c,516.45.1b
13,Potassium,mg,96.7  4.8c,127.02.3b,63.3  4.3d,182.7 3.2a
14,Iron,mg,0.5  0.1d,1.20.1c,1.5  0.3a,1.4  0.6b
15,Zinc,mg,0.60.1b,0.30.1c,0.30.1c,1.10.1a
16,Copper,mg,0.10.0b,0.20.0a,0.20.0a,0.1  0.0b
17,Manganese,mg,0.40.1c,0.30.1d,0.40.1a,0.4+0.1b
18,Carotenoids and vitamin A,,,,,
19,Lutein,mg,0.3  0.0c,1.6  0.2a,1.40.1b,0.4  0.1c
20,-carotene,mg,1.30.1b,3.90.1a,4.3  0.3a,4.3  0.2a
21,Vitamin A activity,mg RAE,0.10.0b,0.3  0.0a,0.40.1a,0.4  0.1a
