,0,1,2,3,4,5,6,7,8
0,,Macronutrients,,ENERGY_KC,PROCNT,A_PROTEI,MFP_PROT,FAT,CHOCDF
1,,,,Kcal,g,g,g,g,g
2,663,Bambara nut relish with coconut milk,One recipe,127,4.2,0.0,0.0,10.2,6.7
3,32,Bhajia (chickpea flour fritters),One recipe,356,19.2,0.0,0.0,5.6,59.7
4,664,Chick pea relish with coconut milk,One recipe,144.2,4.0,0.0,0.0,8.9,13.7
5,653,Cow pea (dry) relish without oil,One recipe,59.5,0.5,0.0,0.0,5.85,2.2
6,654,Cow pea (dry) relish with oil,One recipe,154.7,7.3,0.0,0.0,6.3,18.9
7,651,Cow pea (fresh) relish without oil,One recipe,71.5,4.6,0.0,0.0,0.4,13.0
8,652,Cow pea relish with coconut milk,Ten recipes,120.4,7.4,0.0,0.0,1.8,19.7
9,657,Kidney bean relish without oil,Two recipes,117.2,6.4,0.0,0.0,2.9,17.1
10,656,Kidney bean relish with oil,Two recipes,130.6,4.9,0.0,0.0,6.9,13.3
11,655,Kidney bean relish with coconut milk,Nine recipes,83.2,2.8,0.0,0.0,4.8,8.1
12,662,Mung bean (dry) relish with cocount milk,One recipe,87.2,2.4,0.0,0.0,5.3,8.7
13,658,"Mung bean (dry, boiled)",Two recipes,43.7,2.8,0.0,0.0,0.2,8.0
14,659,"Pigeon pea (fresh, cooked)",One recipe,131.0,6.1,0.0,0.0,5.1,16.1
15,660,Pigeon pea relish with coconut milk,One recipe,114.0,3.4,0.0,0.0,7.2,10.4
16,661,Pigeon pea relish with oil,Two recipes,245.0,13.8,0.0,0.0,5.8,36.3
