,0,1,2,3,4,5,6,7,8
0,,Territory,Severely food,Severely food,Moderately food,Moderately food,,Total food,Rural
1,,Territory,,insecure (A),,insecure (B),insecure (A+B),insecure (A+B),population in
2,,,%,Population,%,Population,%,Population,2011
3,Ango,,11.4,"10,326",42.9,"38,724",54.3,"49,050","90,355"
4,Aru,,21.0,"146,579",25.2,"175,895",46.2,"322,474","698,694"
5,Bafwasende,Bafwasende,0.0,,30.0,"51,670",30.0,"51,670","172,232"
6,Bambesa,Bambesa,5.1,,71.8,,76.9,,
7,Bondo,,6.2,"13,335",60.0,"130,012",66.2,"143,347","216,687"
8,Djugu,,6.3,"70,121",67.6,"752,627",73.9,"822,748","1,112,579"
9,Dungu,,25.3,"41,629",38.0,"62,443",63.3,"104,071","164,500"
10,Faradje,Faradje,26.0,"51,589",55.8,"110,820",81.7,"162,409","198,712"
11,Irumu,,4.8,"33,965",53.6,"378,469",58.4,"412,434","705,990"
12,Mahagi,Mahagi,15.4,"160,420",38.5,"401,050",53.8,"561,470","1,042,730"
13,Mambasa,Mambasa,2.9,"8,643",18.4,"54,736",21.4,"63,379","296,728"
14,Niangara,Niangara,6.5,"6,262",37.4,"36,178",43.9,"42,439","96,706"
15,Poko,,6.6,"12,438",32.8,"62,189",39.3,"74,626","189,675"
16,Rungu,,0.0,,31.6,"154,053",31.6,"154,054","487,836"
17,Wamba,Wamba,0.0,,13.3,"14,553",13.3,"14,553","109,146"
18,Watsa,,29.8,"65,242",51.0,"111,543",80.8,"176,785","218,877"
