,0,1,2,3,4,5,6,7,8,9
0,,,CFSVA-11/12,CFSVA-11/12,,,CFSVA-2008,CFSVA-2008,,
1,,,Borderline,Borderline,Acceptable,,Borderline,Borderline,Acceptable,Acceptable
2,Province,Poor FC,FC,,FC,Poor FC,FC,,FC,
3,Equateur,10,,37,52,2,,25,,73
4,Kasai Orientale,7,,37,56,7,,34,,59
5,Sud-Kivu,12,,31,57,12,,33,,55
6,Nord-Kivu,13,,25,62,6,,30,,64
7,Maniema,5,,32,63,5,,51,,44
8,Kasai,,,,,,,,,
9,Occidentale,10,,25,66,1,,16,,83
10,Katanga,11,,23,66,11,,35,,54
11,Orientale,6,,27,66,5,,32,,63
12,Bas-Congo,7,,25,68,7,,30,,63
13,Bandundu,9,,15,76,6,,26,,68
14,Rural national,10,,28,62,6,,30,,64
