,0,1,2,3,4,5,6
0,Uniniuul2:bhuuuhlnluupnyquphyhnuuhuulph%hnpniuunp,Uniniuul2:bhuuuhlnluupnyquphyhnuuhuulph%hnpniuunp,,Uniniuul2:bhuuuhlnluupnyquphyhnuuhuulph%hnpniuunp,,,
1,,,,uhunuuhuulph%qnnniuunp,,,
2,,Unugyud(ophuul,,Unniu(ophuul,,,
3,,hupuuhuhhupny,,uuupnu unniu),,qupulnipuup,
4,,"huhspulip,lpluulip",,,,,
5,,l uju),,,,,
6,ThuuuhuE,,20,,(20),,
7,thuthu,,10,,20,,25
8,Nhpnoquyhu,,10,,(10),,15
9,thughu,,(0),,(0),,5
10,hnuuhu B6,,10,,20,,25
11,4hnuuhu B12,,5,,(5),,
12,Injuppni,,20,,50,,50
13,huuuhuc,,50,,50,,
14,yhuluqhpniuu2yudupdlpikpp huzyuplyudhi,yhuluqhpniuu2yudupdlpikpp huzyuplyudhi,,,,,
