,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,SIH,bw,220,1.75,200,,,,1.75,,145,820,07,,110
1,ARC,6w,,,2112,,,,,446,,3.000,1416,2.260,090
2,TAL,6w,320,,1.000,113,,,420,414,,2.100,1446,1106,210
3,TRR,bw,280,224,,,1225,,224,,,1110,07,,146
4,PHE,bw,,,1.116,,,1110,,,,1120,,,240
5,CXS,6w,1.10,15,,,,2.60,126,,113,,,,99
6,MET,6w,150,173,6.12,,1114,380,100,115,,,,,06
7,LXS,bw,510,,,,,1.210,,,444,1.160,21001000,1005,450
8,LEU,6w,099,,,,,,421,,320,,21001000,1724,440
9,37E,6w,0.00,,1.150,1006,,1.100,,381,310,,1.006,311,310
10,THP,6w,410,,1166,1147,717,088,364,244,,,040,,280
11,TPP,6w,180,1.08,,,,,,12,,,184,,110
12,,,,,8,,,2,,,,,3,,
