,0,1,2,3,4,5,6,7,8,9,10
0,,,,% of Stunting,,% of Wasting,% of Wasting,,% of Underweight,% of Underweight,
1,,,,,,,,,,,MICS
2,Socio economic,Socio economic,MICS,DHS,MICS,MICS,DHS,MICS,MICS,DHS,
3,characteristics,characteristics,2001r,2007r,2010d,2001r,2007r,2010d,2001r,2007r,2010d
4,Sex,,,,,,,,,,
5,Male,,40.3,48.1,47.7,14.8,11.4,9.5,32.9,27.5,26.6
6,Female,,36.0,43.1,39.6,12.1,8.7,7.5,29.2,22.7,21.1
7,Age in month,,,,,,,,,,
8,<6,,4.7,16.1,15.7,8.7,16.8,10.9,3.8,10.1,1.1
9,611,,14.2,,28.5,17.8,,14.4,22.6,,1.7
10,,6-8,,13.3,,,16.4,,,16.8,
11,9- 11,9- 11,,32.9,,,19.5,,,23.1,
12,12- 23,,33.4,,43.3,21.8,,9.8,36.4,,1.1
13,12-17,12-17,,31.4,,,13.0,,,18.1,
14,18- 23,18- 23,,42.6,,,8.7,,,23.0,
15,24-35,,41.4,55.2,51.7,12.6,8.9,6.8,32.3,26.0,26.8
16,36-47,,52.7,54.0,51.5,8.5,7.3,5.5,35.8,28.5,24.4
17,48-59,,58.7,57.0,55.1,9.0,6.6,6.3,38.4,33.0,29.7
18,Place of,,,,,,,,,,
19,Residence,,,,,,,,,,
20,Urban,,28.9,36.7,34.0,12.1,10.3,7.0,22.0,18.9,17.0
21,Rural,,42.6,51.5,47.0,14.1,9.9,9.0,35.5,29.3,27.0
22,Province,,,,,,,,,,
