,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,6w,0,0,00,00,0010,0000,0'000,0'000,0'0000,00,02,,00,0'0
1,3P6r 3P6r 6w,0.2,00,00,00,0010,0000,0'000,0'000,0'0000,00,00,12,00,00
2,3P6r 3P6r 6w,20,110,105,140,12,,,290,260,140,140,30,,110
3,3P6r 3P6r 6w,00,:,00,0'0,00,00,0,00,10.0,,00,0'0,00,00
4,6w,,04,0.2,04,02,0.2,0.2,0.2,00,04,04,80,,00
5,6w,0'0,00,00,00,00,00,00,00,00,,,00,00,00
6,6w,0'0,0,,00,00,00,00,00,00,00,,00,0'0,00
7,6w,,30,,,,20,,,,,,00,30,30
8,6,00,00,00,00,0'0,:,00,00,:,,2,00,00,10
9,6,,0,0,,,00,00,0,,,0,,,00
10,3d 6 r,,0,00,00,00,00,00,00,,,,,00,00
11,,10,120,114,1.20,,,2,,60,610,010,00,068,068
12,,89,,08,,882,872,2,,888,B78,,,,
