,0,1
0,Foods notincluded,Examples
1,Foods with unspecific name,'wild green leaves'
2,,'reef fish'
3,,'bush meat'
4,Local name in addition to English/ Spanish/French,
5,name seeming to be the translation of the food (i.e,
6,notindicative ofvarietv/cultivar/breed,
7,Recipes,
8,"Supplements, and plant or animal extracts in",
9,packaged form,
10,Fortified foods,
11,Taxonomic varieties considered by error as a species,Clementines-Citrus reticulata var.clementine
12,when described without an additional cultivar name,Nectarines-Prunus persica var.nectarine
13,,Mange-tout peas or snowpeas - Pisum sativum
14,,var.macrocarpum
15,,Asparagus-Aspsaragus officinalis var.altilis
16,,"Peppers, capsicum, chilli, green -- Capsicum"
17,,annum var.grossum
18,,"Peppers, capsicum, grenn/red - Capsicum"
19,,annum var.grossum
20,,Broccoli -Brassica oleracea var.botrytis
21,,Cauliflower-Brassica oleracea var.botrytis
22,,Brussels sprouts- Brassica oleracea var.
23,,gemmifera
24,,Cabbage-Brassica oleracea var.capita
25,,Curly kale - Brassica oleracea var.acepahla
26,,Spring green -Brassica oleracea var.acepahla
27,,Swede - Brassica napus var. napobrassica
28,,Turnip-Brassica rapa var.rapifera
