,0,1
0,Broad bean,Vicia faba L.
1,,Faba bona Medik
2,,Faba faba (L.) House
3,,Faba major Desf.
4,,Faba minor Roxb.
5,,Faba sativa Bernh.
6,,Faba vulgaris Moench
7,,Orobus faba Brot
8,,Vicia equina Steud.
9,,Vicia esculenta Salisb.
10,,Vicia vulgaris Gray
11,,Vicia vulgaris Uspensky
12,Lentil,Lens culinaris Medik.
13,,Ervum lens L.
14,,Ervum lens Wall.
15,,Lens esculenta Moench
16,,Lens lens (L.) Huth
17,,Vicia lens (L.) Coss. & Germ.
18,,Vicia pisicarpa H. Lev.
19,Lupines,Lupinus spp.
20,,Several lupines species
21,Pigeon pea,Cajanus cajan (L.) Huth
22,,Cajan cajan(L.Huth
23,,Cajan inodorum Medik
24,,Cajanum thora Raf.
25,,Cajanus bicolor DC.
26,,Cajanus cajan (L.) Merr.
27,,Cajanus cajan (L.) Millsp
28,,Cajanus cajan fo.bicolor(DC.) Baker
29,,Cajanus cajan var.bicolor(Dc.) Purseglove
30,,Cajanus cajan var.flavus(DC.Purseglove
31,,Cajanus flavus DC.
32,,Cajanus indicus Spreng.
33,,Cajanus indicus var.bicolor(DC.)Kuntze
34,,Cajanus indicus var.flavus(DC.) Kuntze
35,,Cajanus indicus var.maculatus Kuntze
36,,Cajanus luteus Bello
37,,Cajanus obcordifolia Singh
38,,Cajanus pseudocajan (Jacq.) Schinz & Guillaumin
39,,Cajanus striatus Bojer
40,,Cytisus cajan L
41,,Cytisus guineensis Schumach. & Thonn.
42,,Cytisus pseudocajan Jacq.
