,0,1,2,3,4,5,6
0,,,,,First season,Second season,Second season
1,Agro-ecological,,,Planting,Harvesting,Planting,Harvesting
2,zones,,Administrative areas,period,period,period,period
3,,Maize,,,,,
4,Central Basin,"Equator,East Province","Equator,East Province",15/03 - 15/04,15/07 - 15/08,15/09 - 15/10,15/01- 15/02
5,Centre South,"West Kasai, East Kasat","West Kasai, East Kasat",15/08 - 15/09,15/12-15/01,15/01 - 15/02,15/05-15/04
6,East,"North Kivu,South Kivu,Maniema,East Province","North Kivu,South Kivu,Maniema,East Province",15/09 - 15/10,15/01- 15/02,15/03 - 15/04,15/07- 15/08
7,North,"Equator (North), East Province (North and Northeast)","Equator (North), East Province (North and Northeast)",15/03 - 15/04,15/07- 15/08,15/09 - 15/10,15/01-15/02
8,Southeast,Katanga,,15/09 - 15/10,15/01- 15/02,,
9,Southwest,"Kinshasa, Bandundu, Lower-Congo","Kinshasa, Bandundu, Lower-Congo",15/10 - 15/11,15/02- 15/03,15/01 - 15/02,15/05- 15/06
10,,Rice,,,,,
11,Central Basin,EquatorEast Province,EquatorEast Province,15/03 - 15/04,15/07 -15/08,15/09 - 15/10,15/01-15/02
12,Centre South,"West Kasai,East Kasai","West Kasai,East Kasai",15/09 - 15/10,15/01 - 15/02,15/02 - 15/03,15/06 - 15/07
13,East,"North Kivu,South Kivu,Maniema, East Province","North Kivu,South Kivu,Maniema, East Province",15/11 - 15/12,15/04 - 15/05,15/09 -15/10,15/12 -15/01
