,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,NW,6w,,,,,,,2,2,10,,,,,2,
1,3,6w,,0,0.2,,0,,90,60,04,,,00,,00,0
2,NZ,6w,,60,,,34,=,,2,,,,2.4,34,04,
3,MPRPPE,6w,00,00,00,00,00,00,00,00,00,00,:,00,00,00,0
4,,2,,,,,,2,13,,2,,,99,,0,
5,2,6w,,140,30,40,110,2,50,1.10,,220,,110,110,2,2
6,,6w,,,,,,,11000,,2110,,,,,2220,2110
7,M6,2,2110,0'09,,,1440,,1110,,480,,,1440,1.000,400,420
8,,bw,4,,,,4110,,,,1160,,1.160,4110,4110,490,440
9,,6w,,1440,210,240,,280,120,,,1110,240,80,500,000,410
10,,,2,,,,,,170,,118,,,193,,,
