,0,1,2
0,564,Fish relish with oil,Mchuzi wa samaki wenye mafuta
1,569,"Fish, fried", Samaki wa kukaanga
2,563,"Fish,fried relish",Supu wa samaki wa kukaanga
3,580,Liver relish,Mchuzi wa maini
4,579,"Liver, fried",Mailni ya kukaanga
5,570,Meat samosa,Sambusa
6,572,"Meat, barbecued",Mishikaki
7,562,"Omelet, spanish",Spanish omelet
8,575,"Omelet, spanish with potato",Spanish omelet na viazi
9,560,Small dried fish relish with coconut,Mchuzi wa dagaa wenye tul la nazi
10,558,Small dried fish relish with okra,Mchuzi wa dagaa wenye bamia
11,557,Small dried fish with tomatoes and oil,Mchuzi wa dagaa wenye nyanya na mafuta
12,559,"Small dried fish, fried",Dagaa wa kukaanga
13,D3,Milk and Milk products,Maziwa na bidhaa za maziwa
14,261,"Cheese, chedder",Jibini chedder
15,258,"Cheese, cream",Kimu yoa jibini
16,259,"Cheese, mozzarella",Jibini mozarella
17,251,Ice cream,Icekrimu
18,252,"Infant formula, Lactogen",Maziwa ya watoto wachanga (Lactogen
19,253,"Milk,condensed,sweetened", Maziwa yai ya kopo yenye sukari
20,257,"Milk,condensed, evaporated, without vitamin A",Maziwa ya maji ya kopo bila vitamin A
21,260,"Milk powder, non-fat without vitamin A", Maziwa ya unga bila mafuta na vitmmin A
22,254,"Milk powder, full-cream",Maziwa ya unga namafuta
23,255,"Milk, cow, whole",Maziwa ya ng'ombe halisi
24,256,"Yogurt , plain whole milk",Maziwa mtindi/magando
25,E,Oils and Fats,Mafuta na bidhaa ya mafuta
26,1102,Butter refined -ghee,Samli
27,1101,Butter with salt,Siagi
28,1105,Coconut cream,Tui la nazi
29,1114,"Coconut meat, raw",Nyama ya nazi
30,1104,Coconut milk and water,Tui la nazi na maji
31,1115,Coconut water,Maji ya nazi
32,1103,Coconut oil, Mafuta ya nazi
33,1107,Margarine,Marjarine (siagi)
34,1108,Red palm oil,Mafuta ya mawese
35,1109,Sesame oil,Mafuta ya ufuta
36,1110,Vegetable fat,"Mafuta ya mimea (kama blueband,tanbondi"
37,1111,"Vegetable fat, cowboy",Mafuta ya cowboy
38,1112,"Vegetable fat, kimbo",Mafuta ya kimbo
39,1113,Vegetable oil,Mafuta ya mimea (ya maji)
