,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,,,00,,,,,,,,,,:,00,:,,
1,FOL,6rl,,1110,1100,2.000,,1000,,069,1110,,2000,,,470,
2,Y1FF6,6w,,0,,0,,0,0,00,0,,0,,,00,00
3,NIA,6w,34,,80,90,,90,,34,,16,,13,,,
4,,bw,,,0,0,,0,2,,07,0,0,,,0,0
5,THHA,bw,021,,,,,,,,0,,,,,00,0
6,VTTC,6w,00,110,10,00,00,2,45,10,10,0'0,0,00,00,,
7,VTTE,6,240,2,00,00,00,0,2,240,00,,,00,00,00,0
8,,6l,00,,00,:,00,:,00,00,00,00,:,00,00,00,
9,ATTTTA,3P6r 3R6r,00,,00,:,:,:,:,00,:,:,:,00,0,0,:
10,VTTA,3P6r 3R6r,00,1.10,00,2,50,00,:,00,,20,2,50,,,
11,,,2,,,,,,2,,,,,,,,
